"hodnoceni_čt","hodnoceni_pá","hodnoceni_po","hodnoceni_so","hodnoceni_st","hodnoceni_út","kurzjaknejlepepraco","kurzjaknejuci","kurzjakuci","kurzlektorpoznamky","kurzlibilo","kurznarocnost_narocmater","kurznarocnost_narocpracetu","kurznarocnost_narochod","kurzobsah_lekodbornik","kurzobsah_lekpoutave","kurzobsah_lekpripraveny","kurzobsah_lekpristupny","kurzobsah_lekvysvet","kurzobsah_lekzapoj","kurzobsah_prinos","kurzobsah_problemzapojit","kurzovlivnil","kurzsamvsInteraktiv","kurzucitjinak","kurzzmenit"
"1","1","2","1","1","3",NA,"Diskusí",NA,NA,"neustala moznost diskuze, jinyuhel pohledu na vec","Mého kurzu se netýká",NA,"Spíše těžké","Určitě ano","Spíše ne","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ne","ano, zmenil muj zpusob uvazovani",NA,"Měl by učit stejně","nic me nenapada"
"2","2","2","2","3","2",NA,"Experimentem / problémem",NA,NA,"Na Tomto kurze sa mi pacilo ze som sa dozvedela o sposoboch skumania ludskej mysle.","Velmi lehké",NA,"Spíše těžké","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Spíše ano","Spíše ne","Určitě ano","Spíše ne","Uvedomila som si, ze to co som povazovala za filozofiu nou vlastne nie je a viem sa zodpovednejsie rozhodnut o tom ci to chcem studovat alebo nie.",NA,NA,"Ask by som uvitala keby tam bolo viac praktickych otazok, na ktorych by som si vedela predstavit tie teorie lepsie. "
"1","1","1","1","1","1",NA,"Diskusí",NA,NA,"Debaty o zajímavých otázkách, Kohiho brada.","Mého kurzu se netýká",NA,"Spíše lehké","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Objevil jsem nové názory v nazírání na všechno o čem si myslel, že je možné videt pouze z jednoho pohledu.",NA,"Měl by učit stejně","Nenacházím žádnou chybu."
"2","1","2","1","2","2",NA,"Diskusí",NA,"Podle me by lektor mel vice inspirovat a provokovat ucastniky k diskusi a nutit je vice k premysleni o problemech.","Diskuse, vymena nazoru.","Mého kurzu se netýká",NA,"Spíše lehké","Určitě ano","Spíše ne","Určitě ano","Spíše ano","Spíše ano","Určitě ano","Spíše ano","Spíše ano","Filozofie me zajima, mozna ne vsechny casti, ktere jsme na kurzu prosli. Ale nektere me zajimaji a inspirovaly me k tomu, abych se o nich dovedela vice.",NA,NA,"Snazit se ucastniky inspirovat k vetsi diskusi a vymene nazoru."
"1","2","4","3","1","1",NA,"Experimentem / problémem",NA,NA,"Ze žádná odpověď nebyla zla","Mého kurzu se netýká",NA,"Vhodně náročné","Určitě ano","Určitě ano","Spíše ano","Spíše ano","Spíše ne","Spíše ano","Určitě ano","Spíše ano","Chápem, ze nic nemusí byt pravda",NA,"Měl by nás trochu víc zapojovat","Viac aktivit na zapajanie studentov"
"4","5","4","5","4","4",NA,"Přednáškou",NA,NA,"Obecný přehled, vtipný a inteligentní lektor.","Mého kurzu se netýká",NA,"Spíše lehké","Určitě ano","Určitě ano","Určitě ano","Nevím","Určitě ano","Určitě ano","Spíše ano","Určitě ne","Ukázal mi, že potřebuji vědět mnohem víc, než jsem si myslel.",NA,NA,NA
"1","1","2","2","1","1",NA,"Přednáškou",NA,"Kohiho priklady boli najlepsie! ""Ak sme na Discoveri, Kohi nema bradu"" ""Kohi je postel"" ","Kohi a jeho vyjadrovanie :))) a ze som sa naucila vela nepeknych slov (funkcionalizmus, komputacionalizmus...) a dozvedela som sa rozne nazory na svet a cloveka v nom ","Mého kurzu se netýká",NA,"Vhodně náročné","Určitě ano","Určitě ano","Spíše ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Spíše ne","Uvedomila som si ze ludia su rozni a kazdy aj rozne vnima tento svet ",NA,"Měl by učit stejně","Momentalne neviem"
"2","1","1","1","2","2",NA,"Nevím",NA,NA,"Zaujaly me vsechny ruzne teorie.","Mého kurzu se netýká",NA,"Spíše těžké","Určitě ano","Spíše ne","Spíše ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Spíše ano","Zacala jsem trochu jinak uvazovat o nekterych vecech, vic premyslet nad ruznou logistikou atd.",NA,"Měl by nás trochu víc zapojovat","Moza by bylo heke pokusit se o vice interaktivnejsi vyuku, pokud je to u filosofie mozne."
"1","1","1","1","1","1",NA,"Experimentem / problémem",NA,NA,"Zaujimave problemy, ktore sme riesili.","Mého kurzu se netýká",NA,"Spíše lehké","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Velmi ma neovplyvnil, ale dal mi lepsi rozhlad o filozofii.",NA,"Měl by učit stejně","Mne sa vsetko pacilo."
"1","2","1","2","1","1",NA,"Diskusí",NA,"Spomenula som to v odpovedi predtym.","Pacilo sa mi, ze sme stihli prejst velkym mnozstvom tem, a pritom sme stihli veci aj prediskutovat a mame celkovy prehlad a nadhlad nad filozofiou ako takou, ako aj o tych-ktorych temach.","Nevím",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Filozofia ma vzdy velmi zaujimala a velmi som chcela satomu aj v buducnosti venovat. Preto som si to aj vybrala. Lenze po prebrati niektoych tem, som si uvedomila, ze na vela veci mam uplne iny nazor. Co ale nie je chyba lektora, ale celkovo komplexnostou filozofie ako vedy. Tak ma to asi na dva dni uplne odradilo, ze teda toto nie je to, co hladam. Teraz ale na poslednej hodine som si uvedomila, ze mozno prave to je dovod, preco sa tomu mam venovat. Prave tym, ze mam na veci iny pohlad a mam svoje teorie trochu sa odlisujuce od diskusovanych, mozem mozno raz prispiet.",NA,NA,NA
