"hodnoceni_čt","hodnoceni_pá","hodnoceni_po","hodnoceni_so","hodnoceni_st","hodnoceni_út","kurzjaknejlepepraco","kurzjaknejuci","kurzjakuci","kurzlektorpoznamky","kurzlibilo","kurznarocnost_narocmater","kurznarocnost_narocpracetu","kurznarocnost_narochod","kurzobsah_lekodbornik","kurzobsah_lekpoutave","kurzobsah_lekpripraveny","kurzobsah_lekpristupny","kurzobsah_lekvysvet","kurzobsah_lekzapoj","kurzobsah_prinos","kurzobsah_problemzapojit","kurzovlivnil","kurzsamvsInteraktiv","kurzucitjinak","kurzzmenit"
"1","1","1","1","1","1",NA,"Hrou",NA,NA,"Nejprve vlídnost Mariety a následne nadšení a drive Sapa, které bylo primo strhujici.Samozrejme ale nejlepší součástí tohoto kurzu byla čOKOLáDA! ","Mého kurzu se netýká",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Mnohem více rozumim svetu kolem me, uvedomuji si reklamu, ktera na me pusobí, a od lektora jsem dostal mnoho užitečných tipu do budoucna.",NA,NA,NA
"1","1","2","1","1","2",NA,"Experimentem / problémem",NA,NA,"Čokoláda :D experimenty, způsob výuky.","Mého kurzu se netýká",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Hodně jsem se toho dozvěděl o tomto oboru i o světě kolem.",NA,"Měl by učit stejně","Líbil se mi takový, jaký byl."
"5","5","5","5","5","5",NA,"Experimentem / problémem",NA,NA,"Lektory: boli velmi dobry , privetivy a vedeli zaujimavo učiť + rozdavali kopec cokolady !!!!","Mého kurzu se netýká",NA,"Vhodně náročné","Spíše ano","Určitě ano","Určitě ano","Spíše ne","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Hlavne vo mne vzbudil zaujem o BE ",NA,NA,"nic "
"1","1","1","2","1","1",NA,"Experimentem / problémem",NA,NA,"Experimenty za pomoci čokolády a také zajímavá videa.","Mého kurzu se netýká",NA,"Velmi lehké","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ne","V nazírání na základní principy ekonomie a její profilování do mého života.",NA,NA,NA
"2","2","2","3","2","2",NA,"Experimentem / problémem",NA,NA,"Zajímavě vybraná témata.","Mého kurzu se netýká",NA,"Spíše lehké","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","..",NA,NA,NA
"1","1","1","1","1","1",NA,"Experimentem / problémem",NA,NA,"Pacili sa mi realne experimenty.","Mého kurzu se netýká",NA,"Nevím","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Pozeram sa inak na rozmyslanie ludi pri nakupe veci.",NA,"Měl by učit stejně","Nic"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","1","3","1","1","3",NA,"Experimentem / problémem",NA,"Prvé dva dni keď učila Marieta som sa nezapájala do diskusie zdalo sa mi, že nechápem čo sa deje. Do diskusie sa zapájali stále len traja istí ľudia, ktorí sa stretli s ekonómiu už pred tým a zjímali sa o ňu. Ale Marieta je super človek, len mi viac dali Sapove hodiny.","Najviac sa mi páčili všetky experimenty a ich vysvetlenie. A čokolády!","Mého kurzu se netýká",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Royźhdne áno! Zistla som, že aj ekonómi može byť super a to nemám rada matematiku.",NA,NA,NA
"1","1","1","1","1","1",NA,"Experimentem / problémem",NA,NA,"Čokolády boli fajn. Velmi dobrý přístup lektora. Zaujímavé analýzy. ","Vhodně náročné",NA,"Spíše těžké","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Spíše ano","Určitě ano","Určitě ano","Určitě ne","Ano vo vnímáni marketingu a spravania lidi .",NA,NA,NA
"1","1","2","1","1","2",NA,"Hrou",NA,NA,"Najviac sa mi pacili prakticke ukazky problemov - simulacie s peniazmi a cokoladkami.","Mého kurzu se netýká",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Ano ovplyvnil ma, teraz viem co ke to behavioralna ekonomia a ako v praxi funguje.",NA,"Měl by učit stejně","Kurz bol skvely, nic by som na nom nemenil."
