"hodnoceni_čt","hodnoceni_pá","hodnoceni_po","hodnoceni_so","hodnoceni_st","hodnoceni_út","kurzjaknejlepepraco","kurzjaknejuci","kurzjakuci","kurzlektorpoznamky","kurzlibilo","kurznarocnost_narocmater","kurznarocnost_narocpracetu","kurznarocnost_narochod","kurzobsah_lekodbornik","kurzobsah_lekpoutave","kurzobsah_lekpripraveny","kurzobsah_lekpristupny","kurzobsah_lekvysvet","kurzobsah_lekzapoj","kurzobsah_prinos","kurzobsah_problemzapojit","kurzovlivnil","kurzsamvsInteraktiv","kurzucitjinak","kurzzmenit"
"1","2","2","3","2","2",NA,"Experimentem / problémem",NA,NA,"priestor pre nás aby sme sami našli správne odpovede","Velmi lehké",NA,"Vhodně náročné","Určitě ano","Spíše ano","Spíše ne","Určitě ano","Spíše ano","Určitě ano","Spíše ano","Spíše ne","ani nie",NA,"Měl by o trochu víc přednášet","lepšie rozplánovať aby sa všetko postíhalo"
"1","1","1","1","2","2",NA,"Diskusí",NA,NA,"vsvetlovanie lektorov ich pristup refreshery atmosfera","Velmi lehké",NA,"Spíše lehké","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","urcite ano, pohlad na debatu, tezu a debatovanie samotne jedoznacne to zlepsili a pomohli mi pravit zo na hlbsieho a lepsieho debatera",NA,NA,NA
"1","1","1","1","1","1",NA,"Přednáškou",NA,"Obaja lektori boli uplne uzasny a vsetko co sme sa ucili bolo putave a bavilo ma to.","Na kurze sa mi najviac pacilo to, ze sme kazdu temu riesili do podrobna a mali sme moznost si to hned vzskusat. ","Spíše lehké",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Doplnila som si teoreticke vlastnosti o debate a mam pocit ze viem teraz ovela lepsie debatovat.",NA,"Měl by učit stejně","Chcela by som, aby hodiny trvali dlhsie. "
"1","1","1","1","1","1",NA,"Diskusí",NA,"Bolo to super a hry na začiatku boli zábavný nápad. ","Bolo to super lebo sme si prešli veci podstatné pre debatu a stratégie, ktoré sa bežne na debatnom v škole nedozvieme. Páčilo sa mi, že sme všetko tvorili sami a nebolo to len formou prednášky. Zároveň lektori boli veľmi ústretoví a vždy sa nás pýtali čo chceme vedieť my.","Mého kurzu se netýká",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Zlepšil mi pohľad na debatu. Viac sa v nej vyznám, viem čo robiť s argumentami a určite som sa vďaka nemu zlepšila.",NA,NA,"Kurz sa mi páčil a nič by som na ňom nemenila."
"2","1","1","1","1","1",NA,"Hrou",NA,NA,"Aplikácia nových stratégií na tézy, pretoze toto je velmi prakticke pre debatera. Zároveň super atmosfera, za ktoru som vdacny Kobimu, Janovi a super parte aku sme mali.","Mého kurzu se netýká",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ne","V tom ze chcem byt lepsi debater.",NA,NA,"Na debate by som nic nemenil."
"1","1","1","1","1","1",NA,"Přednáškou",NA,NA,"velmi mi to pomohlo do buducich debát a regionalok, ked sme nieco potrebovali vysvetlit tak nam vzdy pomohli a bola som rada aj za prakticke cvicenia, cely kurz bol sucastne aj vtipny lebo obaja lektori su super","Vhodně náročné",NA,"Vhodně náročné","Určitě ano","Spíše ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Spíše ne","pri svojich reciach sa citim istejsia a tiez som sa naucila lepsie vyuzivat cas na impro debatach",NA,"Měl by učit stejně","myslim ze bol uplne v poriadku, len je skoda ze sme nestihli vsetko co lektori chceli, asi toho mali pripraveneho prilis vela"
"1","1","2","1","2","1",NA,"Diskusí",NA,NA,"Páčilo sa mi to, ze sme rozoberali teoretické veci ktore sme uplatnili v praxi v debate. Billy billy bob bob bob bol fajn spôsob ako nas rano zobudiť a prinútiť k aktivite :)","Mého kurzu se netýká",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Pomohol mi zlepšiť sa v debate ",NA,NA,NA
"4","5","4","4","5","5",NA,"Přednáškou",NA,NA,"To ze aj napriek tomu ze som navštívil veľa debetných seminárov bolo stále nieco nové čo som sa naučil. Prístup lektorov bol naozaj profesionálny a priateľský zároveň.","Nevím",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Ovplyvnil ma hlavne v mobil pokročilejšie spôsobe argumentácie a hodnotovej hierarchie. ",NA,NA,"Viac času. Veľa krát sme nestíhali prebrať všetko, čo bolo na hodinu naplánované."
"1","1","1","1","1","1",NA,"Diskusí",NA,NA,"Lektori boli super, naozaj skuseni v debatovani. Naucilo ma to dost.","Nevím",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Urcite ano, v malej skupinke sa dalo vela veci stihnut a sama som si mala moznost debatovat.",NA,"Měl by učit stejně","Bolo to fajn."
"2","2","1","2","2","2",NA,"Hrou",NA,"pacilo sa mi jak lektori ucili lebo sme mali moznost namietnut ale zmenil by som mozno to niektore veci si pospajat sami co sme moc nemohli robit kedze by to trvalo prilis dlho a moc by sme toho neprebrali aj ked nam lektori dali dost moznosti zapojit sa do diania kurzu","Pacilo sa mi ze sme rozoberali debatu co v nej zavazi a moznost si dat poradit ked sme sa chceli nieco individualne opytat","Mého kurzu se netýká",NA,"Vhodně náročné","Spíše ano","Spíše ano","Spíše ano","Určitě ano","Spíše ano","Určitě ano","Spíše ano","Určitě ne","Naucil ma inak zmyslat o debate a zrejme zlepsil nejake zrucnosti debatne",NA,NA,"mozno jednu cast hodiny venovat teoretickej casti a druhu cast hodiny venovat aplikacii do debaty, co sme aj casto chceli robit ale nevysiel nam cas a preto by som mozno zvacsil cas kurzov a mozno lepsie prerozdelit teoriu a prax na jednej hodine"
