"hodnoceni_čt","hodnoceni_pá","hodnoceni_po","hodnoceni_so","hodnoceni_st","hodnoceni_út","kurzjaknejlepepraco","kurzjaknejuci","kurzjakuci","kurzlektorpoznamky","kurzlibilo","kurznarocnost_narocmater","kurznarocnost_narocpracetu","kurznarocnost_narochod","kurzobsah_lekodbornik","kurzobsah_lekpoutave","kurzobsah_lekpripraveny","kurzobsah_lekpristupny","kurzobsah_lekvysvet","kurzobsah_lekzapoj","kurzobsah_prinos","kurzobsah_problemzapojit","kurzovlivnil","kurzsamvsInteraktiv","kurzucitjinak","kurzzmenit"
"2","2","2","2","1","2",NA,"Diskusí",NA,NA,"Sposob vyucovania vysvetlovanie teorie prepojene s praxou mtaktiez potreba debaty v dnesnej spolocnosti","Velmi lehké",NA,"Vhodně náročné","Určitě ano","Spíše ano","Spíše ano","Určitě ano","Určitě ano","Spíše ano","Spíše ano","Určitě ano","Ano v tom ze tuzim teraz viest debatny klub",NA,"Měl by učit stejně","Nic takto je to efektivne "
"1","1","2","1","1","1",NA,"Diskusí",NA,"Byli jste fakt super, oba :)","Systematická výuka a vzájemná interakce mezi námi","Nevím",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Snad umím líp argumentovat :D",NA,"Měl by učit stejně","Mluvit trochu pomaleji, přece jenom, slovenština... :D"
"1","1","1","1","1","1",NA,"Experimentem / problémem",NA,NA,"Struktura kurzu, kdy jsme sli od nejlehciho k tezsimu a podnetne poznamky lektoru, stejne jako vhodne doplnene energizing aktivity. Blazky a Juro, jste moji hrdinove!!","Spíše lehké",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Ano, premyslim, ze zacnu debatovat!",NA,"Měl by učit stejně","Mozna trosku lepe vysvetlit jak se debata (resp. v debate) definuje."
"1","1","1","1","1","1",NA,"Experimentem / problémem",NA,"Obaja ste super chlapci, len tak ďalej ;)","To, že bol veľmi energický a interaktívny.","Nevím",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Rozhodne :) Ukázal mi nový pohľad na debatu a na to, ako ju možem využiť v praxi.",NA,"Měl by učit stejně","Neviem o ničom."
"1","1","2","1","1","1",NA,"Hrou",NA,"Možno mimo-seminarove sessions a debaty","Přístup chalanov- upřímnost, spontannost a cukriky :3","Spíše lehké",NA,"Vhodně náročné","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Spíše ne","Získala som systém v ako mojej debatě, tak aj v zivote",NA,NA,"Viac debat?"
"1","2","2","1","1","2",NA,"Přednáškou",NA,"Juro a Blašky ucili aby to bolo zrozumitelne","Naucil som sa co je Debata a aj som sa naucil debatovat, hodiny boli zaujimave odniesol som si z nich vela a preto lebo to urcite vyuzijem ","Vhodně náročné",NA,"Spíše lehké","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ne","Chcem sa naucit debatovat a zlepsit si prejav",NA,NA,"Nic netreba menit je to vyborne"
"2","1","1","1","1","2",NA,"Hrou",NA,NA,"Velmi dobrý lektory zábavná výuka interaktivní hry ","Nevím",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ne","Pravděpodobně založím debatný klub",NA,"Měl by učit stejně","Viac debaty aby sme si to výškusali."
"4","4","3","3","5","4",NA,"Přednáškou",NA,NA,"To ze sem se naučila komunikovat s ludmi a vytvářet strukturu argumentu.","Velmi lehké",NA,"Spíše lehké","Určitě ano","Spíše ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Ovlivnil ma v tom ako vysvetlovat ludom věci a obhajovat si pred nimi názor.",NA,NA,NA
"2","2","3","1","2","2",NA,"Přednáškou",NA,NA,"Možnost debatovat a zjistit něco o tom. Hlavně přátelskost lektorů.","Vhodně náročné",NA,"Vhodně náročné","Spíše ano","Určitě ano","Spíše ano","Určitě ano","Spíše ano","Spíše ano","Spíše ano","Spíše ne","V pohledu na debatu.",NA,"Měl by učit stejně","Možná více času, aby se mohlo více procvičit."
"1","1","2","1","1","1",NA,"Hrou",NA,NA,"ze som a naucila zakladnu strukturu debaty","Vhodně náročné",NA,"Spíše lehké","Spíše ano","Spíše ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","ano, chcela by som debatovat",NA,NA,NA
"1","2","3","3","1","2",NA,"Diskusí",NA,NA,"Najviac sa mi pacilo to ze som sa naucila ako spravne debatovat a obhajit si svoj nazor. ","Spíše lehké",NA,"Vhodně náročné","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Ovplyvnil ma v tom ze odteraz budem vediet spravne argumentovat, obhajit si svoj nazor a taktiez brast ohlad aj na druhych. Tiez vo vnimani niektorych veci a tém.",NA,NA,NA
