"hodnoceni_čt","hodnoceni_pá","hodnoceni_po","hodnoceni_so","hodnoceni_st","hodnoceni_út","kurzjaknejlepepraco","kurzjaknejuci","kurzjakuci","kurzlektorpoznamky","kurzlibilo","kurznarocnost_narocmater","kurznarocnost_narocpracetu","kurznarocnost_narochod","kurzobsah_lekodbornik","kurzobsah_lekpoutave","kurzobsah_lekpripraveny","kurzobsah_lekpristupny","kurzobsah_lekvysvet","kurzobsah_lekzapoj","kurzobsah_prinos","kurzobsah_problemzapojit","kurzovlivnil","kurzsamvsInteraktiv","kurzucitjinak","kurzzmenit"
"1","1","1","1","1","1","Samostatně","Hrou","Nutí nás na věci přícházet sami",NA,"Tomi a Zuzka nám vysvětlili podstatu argumentů a naučili mě přemýšlet víc do hloubky ;)
","Vhodně náročné","Spíše lehké","Nevím","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Spíše ne","Naučil mě přemýšlet více do hloubky a neustále se ptát PROČ? ","Hodně přednášel","Měl by učit stejně","Nevidím nic na měnění ;)"
"1","1","1","1","1","1","Ve dvojici","Hrou","Rovnoměrně","Len tak ďalej. :)","Priateľský a zároveň profesionálny prístup lektorov, spůsob výučby( za každým vysvetlením množstvo príkladov v praxi, hry..) aj to,že sm eišli systematicky a že na konci sme si skúsili debatu. :)","Vhodně náročné","Vhodně náročné","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Pozerám sa na problémy do hĺbky a z viacerých uhľov pohladu.","Hodně přednášel","Měl by učit stejně","Viac času naň :)"
"2","2","1","1","2","1","Ve dvojici","Hrou","Rovnoměrně",NA,"Lektoři byli milí, časté aktivity jako hry, to bylo moc super! A závěrečná debata, vyzkoušet si to:) a ta Nutella!","Velmi lehké","Velmi lehké","Velmi lehké","Určitě ano","Spíše ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Nevím","Asi začnu 'závodně' debatovat.","Spíš interaktivně","Měl by učit stejně","Třeba pustit video debaty., nebo aby nám lektoři ukázali debatu."
"1","1","1","1","1","1","Ve dvojici","Hrou","Rovnoměrně",NA,"Keď som na tento kurz šla, nevedela som o debate absolútne nič. Myslím, že som tam dostala dostatočn ""začiatočnícky"" prehľad. Naučili sme sa ako tvoriť argumenty, čo nepoužívať, ako má debata vyzerať a kurz sa zakončil debatou. ","Mého kurzu se netýká","Spíše těžké","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Rada by som sa venovala debate aj po Discoveru. ","Hodně interaktivně","Měl by učit stejně",NA
"2","2","1","1","1","1","Samostatně","Hrou","Dává nám nové informace","Mohli by být více přístupnější, ale možná to jsou jen mé osobní pocity.","Možnost naučit se debatovat, zjistit techniky, strukturu a hlavně si debatu nazávěr vyzkoušet. Líbila se mi vyuka, kde jsme si teorii později zkoušeli na příkladech a v praxi.","Vhodně náročné","Spíše těžké","Vhodně náročné","Určitě ano","Spíše ano","Určitě ano","Spíše ne","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Probudil ve mě zájem debatovat.","Spíš interaktivně","Měl by učit stejně","Klidně bych do kurzu zařadila debaty dvě, jednu na vyzkoušení a rozkoukání a další, kde už budeme vědět jak na to, budeme si více veřit."
"1","1","2","1","1","1","Ve dvojici","Diskusí","Rovnoměrně",NA,"Úžasná dvojica Tomi- Zuzka, ktorí nám nie len predviedli zohraný lektorský tím, ale tiež nás zabavili, cítili sme sa uvolnene, informovane a dobre nás naučili základy debaty. ","Vhodně náročné","Spíše lehké","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","určite áno. V mojich názoroch, v mojom vyjadrovaní, argumentovaní, istote...","Hodně interaktivně","Měl by učit stejně","Možno niektoré veci preberať menej dookola a povedať nám z toho času, čo by tak ostal, nejaké ďalšie rady a veci o debate. "
"1","1","2","1","1","1","Ve dvojici","Hrou","Rovnoměrně",NA,"Dozvěděl jsem se, jak taková soutěžní debata vypadá, nejvíc mě tedy bavila poslední hodina.","Spíše lehké","Velmi lehké","Spíše lehké","Určitě ano","Spíše ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Uvažuji o tom, že se budu debatě věnovat ve svém volném čase. A i kdyby ne, tak budu nad diskusemi/hádkami více přemýšlet.","Hodně interaktivně","Měl by učit stejně","Prostory, kde se vyučovalo byly trochu stísněné a pochmurné (mohli jsme častěji chodit ven), ale to je spíš drobnost. :)"
"1","1","2","1","1","1","Ve dvojici","Diskusí","Nutí nás na věci přícházet sami",NA,"Dozvěděl jsem se a hlavně si vyzkoušel něco nového","Spíše těžké","Spíše těžké","Spíše těžké","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Seznámil mě s úplně novou a velice zajímavou aktivitou","Hodně interaktivně","Měl by učit stejně","Forma byla vhodná, obsah a provedení též"
"3","2","2","1","3","3","Ve dvojici","Hrou","Rovnoměrně",NA,"Nejvic se mi libila zaverecna debata, protoze jsme si mohli vyzkouset, jak to normalne probiha na debatach.","Spíše těžké","Spíše lehké","Spíše lehké","Spíše ano","Spíše ne","Spíše ano","Určitě ano","Spíše ano","Určitě ano","Spíše ano","Nevím","Naucila jsem se lepe argumentovat.","Spíš interaktivně","Měl by učit stejně",NA
"1","1","1","1","1","1","Samostatně","Přednáškou","Rovnoměrně",NA,"Prístup lektorov. Aktivity, ktoré nám vymýšľali, motivovali nás a celkovo mali skvelý prístup, takže ma mnoho nového naučili.","Vhodně náročné","Velmi lehké","Velmi lehké","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Debata ma oslovila ešte viac a najmä rozhodovanie. ","Hodně interaktivně","Měl by učit stejně",NA
