"hodnoceni_čt","hodnoceni_pá","hodnoceni_po","hodnoceni_so","hodnoceni_st","hodnoceni_út","kurzjaknejlepepraco","kurzjaknejuci","kurzjakuci","kurzlektorpoznamky","kurzlibilo","kurznarocnost_narocmater","kurznarocnost_narocpracetu","kurznarocnost_narochod","kurzobsah_lekodbornik","kurzobsah_lekpoutave","kurzobsah_lekpripraveny","kurzobsah_lekpristupny","kurzobsah_lekvysvet","kurzobsah_lekzapoj","kurzobsah_prinos","kurzobsah_problemzapojit","kurzovlivnil","kurzsamvsInteraktiv","kurzucitjinak","kurzzmenit"
"1","1","2","1","1","1","Ve dvojici","Hrou","Nutí nás na věci přícházet sami",NA,"Teorie her","Spíše lehké","Spíše těžké","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ne","Vysvětlil mi výkumné metody v ekonomii","Hodně interaktivně","Měl by učit stejně","Více ekonomické teorie"
"2","1","2","1","1","1","Ve skupině okolo 5","Diskusí","Rovnoměrně",NA,"Dozvedať sa nové poznatky z oblasti, ktorá ma poslednou dobou zaujíma, no moc som toho o nej nevedel.","Spíše lehké","Vhodně náročné","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Spíše ne","Utvrdil ma v mojom záujme o danú problematiku.","Spíš interaktivně","Měl by učit stejně",NA
"1","1","1","1","1","2","Ve dvojici","Hrou","Nutí nás na věci přícházet sami",NA,"všetko","Spíše těžké","Vhodně náročné","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","v pohľade na ľudí","Hodně interaktivně","Měl by učit stejně",NA
"1","1","2","1","1","1","Ve dvojici","Experimentem / problémem","Nutí nás na věci přícházet sami",NA,"Hlavne to, že sme mali všetko vysvetlené pomocou hier, ktoré sme si sami vyskúšali a tým sme mohli lepšie pochopiť, prečo to tak funguje.","Nevím","Vhodně náročné","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ne","Určite áno, hlavne v tom, že viem lepšie predpokladať, ako sa budú ľudia v rôznych situáciach správať.   ","Hodně interaktivně","Měl by učit stejně",NA
"1","1","1","1","1","1","Ve dvojici","Hrou","Nutí nás na věci přícházet sami",NA,"Hraní her z teorie her.","Velmi lehké","Vhodně náročné","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Utvrdil mě v tom, co chci studovat.","Hodně interaktivně","Měl by učit stejně","Nic."
"1","1","2","1","1","1","Ve dvojici","Diskusí","Rovnoměrně",NA,"Velmi ma zaujalo ako velmi ovplyvnuje ekonomia ludi a kolko roznych pohladov moze byt na jeden problem a kolko z nich a da jednoduchsie a lepsie vyriesit keby sme sa len viac vyznali v ekonomii. ","Vhodně náročné","Vhodně náročné","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ne","v tom co vlastne ekonomia robi a ako velmi suvisi s nasim beznym zivotom a kedze uvazujem o buducom studovani ekonomie tak ma v tom mierne utvrdil. ","Spíš interaktivně","Měl by učit stejně",NA
"2","2","2","2","2","2","Ve dvojici","Přednáškou","Dává nám nové informace",NA,"Game theory, diskusie","Spíše těžké","Spíše těžké","Spíše těžké","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Zistil som ako sa debatuje","Hodně přednášel","Měl by učit stejně","Mnozstvo teorie"
"1","2","1","1","2","1","Ve skupině okolo 5","Hrou","Nutí nás na věci přícházet sami",NA,"Teorie her, experimenty, chybne grafy a ruzne hry","Spíše lehké","Vhodně náročné","Vhodně náročné","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ne","utvorila jsem si novy obraz ekonomie nejen jako rigidni matematicky vedy, ale vicerozmerove slozite a dynamicke discipliny","Spíš interaktivně","Měl by učit stejně",NA
"1","1","1","1","1","1","Samostatně","Diskusí","Rovnoměrně",NA,"Nejvic se mi libilo to, ze jsem se dozvedel neco noveho o ekonomii a zlepsil jsem, doufam, svoji financni gramotnost.","Vhodně náročné","Vhodně náročné","Vhodně náročné","Určitě ano","Spíše ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Spíše ano","Určitě ne","Urcite se budu vyvarovat nejakym iracionalnim rozhodnutim, ktere delaji lide s penezi","Spíš interaktivně","Měl by učit stejně","Mozna by to chtelo zakomponovat do kurzu technologie jako je pocitac, a tim bychom udelali kurz vice zajimavy."
"1","1","1","1","1","1","Ve dvojici","Experimentem / problémem","Rovnoměrně",NA,"Nové veci, postupná práca s lektorom, reality reflection","Spíše lehké","Spíše lehké","Spíše lehké","Určitě ano","Spíše ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Uzrejmenie reality, hlbší insight do témy o ktorú mám záujem","Hodně interaktivně","Měl by učit stejně","Môže toho byť aj viac"
