"hodnoceni_čt","hodnoceni_pá","hodnoceni_po","hodnoceni_so","hodnoceni_st","hodnoceni_út","kurzjaknejlepepraco","kurzjaknejuci","kurzjakuci","kurzlektorpoznamky","kurzlibilo","kurznarocnost_narocmater","kurznarocnost_narocpracetu","kurznarocnost_narochod","kurzobsah_lekodbornik","kurzobsah_lekpoutave","kurzobsah_lekpripraveny","kurzobsah_lekpristupny","kurzobsah_lekvysvet","kurzobsah_lekzapoj","kurzobsah_prinos","kurzobsah_problemzapojit","kurzovlivnil","kurzsamvsInteraktiv","kurzucitjinak","kurzzmenit"
"1","1","2","1","1","1","Ve skupině okolo 5","Experimentem / problémem","Rovnoměrně",NA,"Páčilo sa mi ako sme rozoberali prípady skutočných pacientov, a že som konečne videla ako vyzerá skutočné MRI.","Spíše lehké","Mého kurzu se netýká","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Ukázal mi iný pohľad na neurovedu.","Hodně přednášel","Měl by učit stejně",NA
"2","2","1","2","3","3","Samostatně","Experimentem / problémem","Dává nám nové informace","Vadil mi trysk nových informácii. Nestíhal som dávať občas pozor.","obrázky o mozgu","Velmi těžké","Spíše těžké","Spíše těžké","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Spíše ne","Určitě ano","Spíše ano","Určitě ne","ukázal mi veľa o chorobách mozgu.","Spíš přednášel","Měl by nás trochu víc zapojovat","pridanie vyučovania hrou a aby to nebolo celé len o epilepsii."
"1","1","1","1","1","1","Samostatně","Experimentem / problémem","Nutí nás na věci přícházet sami","Bára učí skvele.","To isté ako pri medicíne.","Vhodně náročné","Vhodně náročné","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ne","Nie, utvrdil ma v mojich študíjnych a pracovných cieľoch.","Spíš interaktivně","Měl by učit stejně","Nič."
"1","1","1","1","1","1","Ve velké skupině","Experimentem / problémem","Rovnoměrně",NA,"Klinicka neuroveda bola strasne super, doteraz som z kurzu nadsena!!! Bara bola strasne mila, jej prednasky mali strukturu a veci vysvetlovala velmi jednoducho a zrozumitelne. Najviac sa mi ale pacilo, ze jednotlive choroby ukazovala na skutocnych pacientoch, videli sme realne snimky z magneticky rezonancie, atd. Hodiny boli interaktivne, pracovali sme s roznymi materialmi. Celkovo neuroveda bola uzasna!!!","Vhodně náročné","Vhodně náročné","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Spíše ne","Ak sa bude dat, rada by som sa venovala klinickej neurovede v kombinacii s psychologiu, strasne ma to nadchlo.","Hodně interaktivně","Měl by učit stejně",NA
"1","1","1","1","1","1","Samostatně","Přednáškou","Dává nám nové informace","Na kurzoch sme všetci všetkému rozumeli, témy nás bavili a boli vhodne vysvetlené","Prístup lektorky, zrozumiteľné vysvetlenie a zaujímavé témy","Spíše těžké","Nevím","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Áno, možno v smere môjho budúceho zamerania.","Hodně interaktivně","Měl by učit stejně","Podľa mňa nič"
"1","1","1","1","1","2","Ve dvojici","Experimentem / problémem","Rovnoměrně","Jsi perfekní!","Snímky z MRI a příklady a případy, skutečnost, že se bavíme o reálných pacientech tomu dodávala o 100% lepší dopad, přístup Báry také famózní, pozitivní celou tuto dobu, prostě neuvěřitelné, poslední den a zkusit si sama ve skupině 'ordinovat', boží.","Vhodně náročné","Spíše lehké","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Přemýšlím o studium neurovědy, jen neurovědy (bez medicíny)","Spíš přednášel","Měl by učit stejně","Možná odebrat trochu ""odborna"", pro lidi, co se teď připravují na medicínu je to asi pohodička, ale někdy jsem měla trochu problém, ale zároveň nebudu zastavovat celou skupinu, protože nerozumím jen já."
"2","1","1","1","3","2","Ve dvojici","Nevím","Rovnoměrně","Bára je skvelá, len občas som sa v jej prednášaní stratila. ","Páčilo sa mi ako sme sa takmer úplne ocitli v nemocničnom prostredí. Ako sme naozaj pozerali tue výsledky vyšetrení a snažili sa na nich nájsť čo môže byť zlé.","Spíše těžké","Mého kurzu se netýká","Spíše těžké","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Spíše ano","Spíše ano","Kurz ma ovplyvnil v tom, že rozhodne budem dávať pozor na mimi, kedže ak je nejaká porucha v mozgu, treba ju riešiť čo najskôr.","Spíš interaktivně","Měl by učit stejně","Možno keby sme prebrali viac mozog všeobecne a viacero chorôb."
"1","1","1","1","2","2","Ve skupině okolo 5","Experimentem / problémem","Rovnoměrně",NA,"Líbilo se mi, s jakou otevreností nám Bára ukazovala reálné prípady pacientu, které výrazne prispeli k lehkému pochopení konkrétních nemocí.","Spíše těžké","Mého kurzu se netýká","Vhodně náročné","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ne","Určite ano, dozvedel jsem se spoustu nových informací a vytvoril celkem pekný obrázek o oboru Klinická neuroveda.","Spíš interaktivně","Měl by učit stejně",NA
"1","1","1","1","1","1","Samostatně","Experimentem / problémem","Nutí nás na věci přícházet sami","Bara je skvela!","Lektor, obsah, interaktivnost, informacie. ","Vhodně náročné","Vhodně náročné","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Moj pohlad na neurovedu.","Spíš přednášel","Měl by učit stejně","Nic!"
"2","2","1","2","2","2","Ve velké skupině","Hrou","Rovnoměrně","Bára je moc milá a příjemná. ","První hodina, byla obecná a dosti přínosná. ","Spíše těžké","Vhodně náročné","Nevím","Určitě ano","Spíše ne","Určitě ano","Určitě ano","Nevím","Nevím","Spíše ano","Spíše ano","Vím, že rozhodně nikdy nebudu moct hledat nálezy, protože nepoznám mozek od mozkomíšního moku. ","Spíš přednášel","Nevím","Neříkám, že byste měli něco měnit, je spíš moje chyba, že jsem si vybrala kurz více doktorský, než kolik bych byla schopna ve zdraví strávit. Na mě to bylo velmi praktické, očekávala jsem více zajímavostí atd., ale rozhodně netvrdím, že by se to mělo měnit, pro ty, co přemýšlí o medicíně to muselo být úžasné. "
