"hodnoceni_čt","hodnoceni_pá","hodnoceni_po","hodnoceni_so","hodnoceni_st","hodnoceni_út","kurzjaknejlepepraco","kurzjaknejuci","kurzjakuci","kurzlektorpoznamky","kurzlibilo","kurznarocnost_narocmater","kurznarocnost_narocpracetu","kurznarocnost_narochod","kurzobsah_lekodbornik","kurzobsah_lekpoutave","kurzobsah_lekpripraveny","kurzobsah_lekpristupny","kurzobsah_lekvysvet","kurzobsah_lekzapoj","kurzobsah_prinos","kurzobsah_problemzapojit","kurzovlivnil","kurzsamvsInteraktiv","kurzucitjinak","kurzzmenit"
"1","1","1","1","1","1",NA,"Diskusí",NA,"nemam ziadne poznamky, ako som pisala uz vsetko bolu uzasne","Mne sa pacil obsha , kazdy den dnieco ine a vsetko bolo tak zaujimave a mohla som si dat dokopy vsetky spojitosti a strasne sa mi pacilo ze ked sme si nieco vysvetlovali tak sme si to znazornovali kresebne a to bolo dost super ","Vhodně náročné",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Podoporil ma v tom co chcem robit a to ze chcem ist na medicinu",NA,NA,"ja by som nemenila nic , karel bol super a bolo vidno ze sa v tom vyzna takze nic by som nemenila"
"1","1","1","1","1","1",NA,"Experimentem / problémem",NA,"ne","obrazkove znazornenie danej temy, putave ucenie danej temy","Vhodně náročné",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","ano, ukazal mi jednotlive temy a pomohol mi viac sa v nich zorientovat a zistit, co by ma priblizne bavilo",NA,"Měl by učit stejně","nic"
"1","1","1","1","1","1",NA,"Hrou",NA,NA,"Hravý přístup. Ako funguje mozek a videjka ZO psychiatrie a fotky z pitvy","Spíše lehké",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Stále by som chtěla ist na medicinu",NA,"Měl by učit stejně","Nic"
"1","1","1","1","1","1",NA,"Přednáškou",NA,NA,"kurz byl zajimavy, poucny, zabavny a urcite vzdelavaci, nemam k nemu zadne negativa","Vhodně náročné",NA,"Vhodně náročné","Spíše ano","Určitě ano","Určitě ano","Nevím","Určitě ano","Spíše ano","Určitě ano","Určitě ne","kurz spolecne s workshopem o medicine me utvrdil o mem cili v budoucnosti",NA,NA,NA
"1","1","1","1","1","1",NA,"Diskusí",NA,"bylo to super","vsechno, temata byla dobre vybrana a rozmanita, poutave podana...","Vhodně náročné",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","ujistil me ve spravnem vyberu VS, pozmenil mi pohled na psychicke nemoci",NA,"Měl by učit stejně","aby mel aspon tri hodiny"
"1","1","1","1","1","1",NA,"Přednáškou",NA,"Nemám pro to nic než chválu, bylo to ukázkové.","Grafická pestrost. Kája měl leukocyty vystřižené z papíru, kreslili jsme na flip charty, sezařovali jsme symptomy... To bylo super, bez problému jsem si udržela pozornost.","Vhodně náročné",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Nevím","Stejně jako neurověda, těším se, až si doma nastuduju víc o tom, co jsme tu brali",NA,"Měl by učit stejně","Opět bych nic neměnila."
"1","1","1","1","1","1",NA,"Přednáškou",NA,"Karel je super!","Všechno bylo úplně super.","Vhodně náročné",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Splnil mé očekávání a výrazně prohloubil moje znalosti.",NA,NA,"Nic mě nenapadá."
"1","1","1","1","1","1",NA,"Experimentem / problémem",NA,"ty analogie, priklady a obrazky byly hodne prinosne a clovek si pak vic veci zapamatoval.","Analogie a obrazky, ktere Karel pouzival.","Spíše lehké",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Ujistilo me to v tom, ze me toto tema hodne zajima :)",NA,"Měl by nás trochu víc zapojovat","asi nic, prislo mi to uplne super."
"1","1","1","1","1","1",NA,"Experimentem / problémem",NA,NA,"Karel je nejen super clovek, ktery se vyzna ve svem oboru, ale cenim si take zpusob, kterym dokaze studentum informace predat. Je to opravdu obdivuhodne. Uz pred Discoverem jsem byla rozhodnuta jit studovat medicinu, ted se vsak muj zajem prohloubil natolik, ze si nedokazu predstavit, ze bych delala neco jineho. Diky Karle.","Vhodně náročné",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Uz pred Discoverem jsem byla rozhodnuta jit studovat medicinu, ted se vsak muj zajem prohloubil natolik, ze si nedokazu predstavit, ze bych delala neco jineho.",NA,NA,"Prosim nemente nic. Kurz byl skvely."
"1","1","1","1","1","1",NA,"Experimentem / problémem",NA,"Ne.","Přístup lektora. Všichni jsme se zapojovali do řešení problému, a to stejnou měrou, nikdo nebyl upřednostňován, čehož si velmi vážím.","Spíše lehké",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Ano, utvořil jsem si velmi pozitvní pohled na obor. V budoucnu bych se mu rád věnoval.",NA,NA,"Byl jsem spokojen."
