"hodnoceni_čt","hodnoceni_pá","hodnoceni_po","hodnoceni_so","hodnoceni_st","hodnoceni_út","kurzjaknejlepepraco","kurzjaknejuci","kurzjakuci","kurzlektorpoznamky","kurzlibilo","kurznarocnost_narocmater","kurznarocnost_narocpracetu","kurznarocnost_narochod","kurzobsah_lekodbornik","kurzobsah_lekpoutave","kurzobsah_lekpripraveny","kurzobsah_lekpristupny","kurzobsah_lekvysvet","kurzobsah_lekzapoj","kurzobsah_prinos","kurzobsah_problemzapojit","kurzovlivnil","kurzsamvsInteraktiv","kurzucitjinak","kurzzmenit"
"1","1","1","1","1","1","Ve dvojici","Experimentem / problémem","Nutí nás na věci přícházet sami","-","Interaktivnost a suprově promyšlené aktivity ve všech Barčiných hodinách. ","Vhodně náročné","Vhodně náročné","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Jiný pohled na medicínu a vědy obecně, které jsem doteď docela negoval. ","Hodně interaktivně","Měl by učit stejně","všechno bylo super."
"1","1","1","1","1","1","Samostatně","Experimentem / problémem","Nutí nás na věci přícházet sami","Bára bola skvelá.","To, že to nebolo čisto teoretické, ale že sme robili kazuistiku a ukazovali sme si to na skutočných príkladoch.","Vhodně náročné","Vhodně náročné","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Spíše ano","Určitě ano","Určitě ne","Nie, utvrdil ma v tom, čo chcem robiť a študovať.","Hodně interaktivně","Měl by učit stejně","Nič."
"1","1","1","1","1","1","Ve dvojici","Experimentem / problémem","Dává nám nové informace","Lektorka bola ochotná, vtipná a úprimná. Tému vedela veľmi pochopiteľne vysvetliť a aplikovať do života.","Kazuistiky, lebo boli zaujímavé a podľa skutočných udalostí, a tiež spôsob vysvetlenia témy","Mého kurzu se netýká","Nevím","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Áno, inšpiroval ma.","Hodně interaktivně","Měl by učit stejně","Podľa mňa nič"
"1","1","1","1","1","1","Ve velké skupině","Experimentem / problémem","Rovnoměrně","Tento kurz bol fenomenálny. Vďaka.","Úžasná príprava lektora, stavba kurzu, forma výučby ktorá bolo poväčšine interaktívna a kreatívna nútiaca aby sme na veci prišli aj sami. A tiež úžasná atmosféra.","Velmi lehké","Velmi lehké","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Ukázal mi aká vie byť medicína krásna a pomáha mi pri rozhodovaní čo chcem študovať.","Hodně interaktivně","Měl by učit stejně","Dal by som viacej času na kurz."
"2","1","1","1","1","2","Ve skupině okolo 5","Experimentem / problémem","Rovnoměrně",NA,"Najviac sami páčilo, ako sa Bára zaujímala o náš názor, spatnú vazbu, snažila sa nám prisposobiť prednášky tak, aby sme si čo najviac odniesli. Nebolo to len o prezentácií, ale aj o interakcií a masážach, prvých reálnych kazuisticách a debate s bioetikmi, hoci to bol ťažký oriešok ","Mého kurzu se netýká","Vhodně náročné","Vhodně náročné","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Spíše ano","Určitě ne","Ovplyvnil ma v tom, ako vnímam medicínu ako také, z Báriných skúseností a najma zo stretnutia s bioetikmi :) Uvedomila som si, aká je medicína rozmanitá a že nie je len o bifľovaní, hoci toho učenie je celkom dosť )","Hodně interaktivně","Měl by učit stejně",NA
"5","5","4","5","5","5","Ve skupině okolo 5","Hrou","Rovnoměrně",NA,"Páčilo sami, že sme si mohli vyskúšať aké to je preberať nejaký prípad pred komisiou a aj rôzne techniky vyšetrovania pacienta. Taktiež sa mi páčila aj forma výučby pomocou prezentácií. ","Velmi lehké","Vhodně náročné","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ne","Ovmlyvnil ma v tom ako sa ľudia pozerajú na doktorov. Práca doktora je nesmierne náročná či už po psychickej alebo fyzickej stránke, takže by si pacienti mali vic vážiť prácu doktorov, pretože pre ich dobro obetujú naozaj mnoho.","Spíš interaktivně","Nevím","Nemenila by som nič. Výčba je zábavná a kreatívna."
"1","1","1","1","1","1","Samostatně","Hrou","Rovnoměrně","Bara je skvela!","Lektorka, obsah, aktivity. ","Mého kurzu se netýká","Vhodně náročné","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Neovplyvnil, ale zaujal. ","Spíš interaktivně","Měl by učit stejně","Hlavne nemente lektorku. "
"1","1","1","1","1","1","Ve dvojici","Přednáškou","Rovnoměrně","Bára bola úplne skvelá lektorka, ktorá sa nám venovala najviac ako mohla, dokonca aj mimo kurzov nám trpezlivo odpovedala na otázky a trávila s nami čas. Jej masážny workshop bol TOP :)","Naša úžasná lektorka Bára, skupina ľudí, atmosféra, výber tém, výklad, zrozumitelnosť","Mého kurzu se netýká","Mého kurzu se netýká","Spíše lehké","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určite mi dal nový pohľad na medicínu. ","Spíš interaktivně","Měl by učit stejně","nič"
"1","1","1","2","1","1","Ve skupině okolo 5","Experimentem / problémem","Dává nám nové informace","Som velmi spokojna. Nasa lektorka Bara bola perfektna. Dakujem.","V medicine sme mali perfeknu lektorku. Vsetko nam podala formou, ktorej sme pochopili. Zakusili sme svet doktorov ci kazuistiku, ocne, bioeticku komisiu.","Spíše těžké","Vhodně náročné","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Dostala som sa do obrazu ako to je v ich profesii a na skole.","Hodně interaktivně","Měl by učit stejně","Nic by som nemenila."
"2","1","2","1","1","1","Ve velké skupině","Experimentem / problémem","Nutí nás na věci přícházet sami",NA,"Baruška, ktorá bola trpezlivá a naozaj múdra, veľmi zaujímavé a pútavé hodiny, z rôznych oblastí medicíny.","Mého kurzu se netýká","Mého kurzu se netýká","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Áno, pomohol mi rozhodnúť sa pri ďalšom smerovaní.","Hodně interaktivně","Měl by učit stejně",NA
