"hodnoceni_čt","hodnoceni_pá","hodnoceni_po","hodnoceni_so","hodnoceni_st","hodnoceni_út","kurzjaknejlepepraco","kurzjaknejuci","kurzjakuci","kurzlektorpoznamky","kurzlibilo","kurznarocnost_narocmater","kurznarocnost_narocpracetu","kurznarocnost_narochod","kurzobsah_lekodbornik","kurzobsah_lekpoutave","kurzobsah_lekpripraveny","kurzobsah_lekpristupny","kurzobsah_lekvysvet","kurzobsah_lekzapoj","kurzobsah_prinos","kurzobsah_problemzapojit","kurzovlivnil","kurzsamvsInteraktiv","kurzucitjinak","kurzzmenit"
"1","1","1","1","1","1",NA,"Diskusí",NA,NA,"Spôsob vysvetlovania nášho velmi mudreho lektora Mata. Je to pre mna velky vzor a navod, podla ktoreho by som sa chcela riadiť i ja. Naučil ma rozmýšlať a hladať pričiny roznych problemov novým, efektivnejšim sposobom.","Mého kurzu se netýká",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Ano, pomohol mi utvrdit sa vo svojom rozhnodnuti, čo dalej študovať a čomu sa v živote venovať.",NA,"Měl by učit stejně","Myslím, že ak bude taky zaujimavy kazdý rok, tak si pozornost určite prietiahne, takže na nom podla mna netreba menit nic."
"1","1","1","1","1","2",NA,"Experimentem / problémem",NA,"Ma skvely putavy sposob vyucovania","Vedecky pristup aplikacia deduktivneho myslenia a cool pokusy a vo vseobecnosti informacie","Velmi lehké",NA,"Vhodně náročné","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Ano v chuti studovat prirodne vedy",NA,NA,"Nic je to legendary"
"1","1","1","1","1","1",NA,"Diskusí",NA,"nemam","Lektor mato bol fakt super a vie vsetko velmi dobre vysvetli a tie experimety. Boli naj","Mého kurzu se netýká",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Rozsiril mi poznaty o neurovede a tom ako mozog a neurony funguju",NA,"Měl by učit stejně","prosim niv nemente a musite prinut mata aby z neurovedy neodisiel"
"1","1","2","1","1","1",NA,"Experimentem / problémem",NA,"nemam","prichadzanie na veci vlastnym rozmyslanim, teoreticke poznatky spate s praktickymi","Velmi lehké",NA,"Vhodně náročné","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","motivacia venovat sa tejto oblasti viac",NA,NA,"nic"
"1","1","1","1","2","2",NA,"Experimentem / problémem",NA,NA,"Názorné experimenty.","Mého kurzu se netýká",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","..",NA,"Měl by učit stejně",".."
"1","1","1","1","1","1",NA,"Experimentem / problémem",NA,"Maťo, neposúvaj ho ďalej, si najlepší :)","Kurz bol neskutočne interaktívny, nikto nezostal nezapojený a boli to veci nesmierne zaujímavé.","Mého kurzu se netýká",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","minimálne budem môcť rôznymi experimentami ohurovať okolie :)",NA,"Měl by učit stejně","nič na ňom nemeniť, hlavne nie lektora :)"
"1","1","1","1","1","1",NA,"Přednáškou",NA,"Občas bylo něco vysvětleno moc rychle, ale vždycky jsme se k tomu vrátili a nebyl problém :)","Rychlé tempo a hodně otázek od Maťa, bavilo mě zkoušet přijít na to, jak věci fungují, mimo pouhé přijímání informací. A experimenty!","Mého kurzu se netýká",NA,"Spíše těžké","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ne","Excitoval moje nadšení a zvědavost, těším se, až si najdu online přednášky a knížky a dozvím se víc.",NA,NA,"Nic bych neměnila"
"2","2","1","1","1","1",NA,"Diskusí",NA,NA,"Styl vyucovania, lektor miestami kladol sugestivne otazky aby sme dokazali prist na opovede hoci aj sami, ucivo bolo putave a prezentacia naozaj pomohla.","Mého kurzu se netýká",NA,"Vhodně náročné","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ne","V chapani principov fungovania mozgu, jeho ,,bugoch,, a v mojich zaujmoch, kedze ucivo bolo putave",NA,NA,"Ucebnu, v spolocenskej bola rano celkom zima."
"1","1","1","1","1","1",NA,"Přednáškou",NA,"Lektor bol super. Vedel odpovedať na všetky otázky a bol veľmi ústretový aj keď sme ho žiadali o knihy a nejaké užitočné rady. Spôsob učenia bol dobrý, vždy nám vysvetlil všetko, čo sme nechápali aj v prípade, že kurz skončil. ","Páčilo sa mi, že sme mohli vidieť rôzne experimenty a kurz nebol len nudnou teóriou ale vedou v praxi. Téma bola zaujímavá a určite ma to pohlo vpred v pohľade na neurovedu. Veľmi sa mi páčilo zapálenie lektora pre kurz, ktoré bolo také nákazlivé, až sme si to užívali všetci. ","Mého kurzu se netýká",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Zaujal ma a určite sa budem venovať neurovede aj v budúcnosti. ",NA,"Měl by učit stejně","Viac citrónov. Došli až moc skoro."
"1","1","1","1","1","1",NA,"Experimentem / problémem",NA,NA,"Celá vyuka a experimenty, ktoré sme skúšali boli dosť super a vtipne. Páčilo sa mi takisto ako Matej zaujímavo rozprával o všetkých témach.","Mého kurzu se netýká",NA,"Spíše těžké","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ne","Prinútil ma premýšľať o štúdiu neurovedy v medicíne, nad čím som predtým až tak neuvažovala. ",NA,NA,NA
