"hodnoceni_čt","hodnoceni_pá","hodnoceni_po","hodnoceni_so","hodnoceni_st","hodnoceni_út","kurzjaknejlepepraco","kurzjaknejuci","kurzjakuci","kurzlektorpoznamky","kurzlibilo","kurznarocnost_narocmater","kurznarocnost_narocpracetu","kurznarocnost_narochod","kurzobsah_lekodbornik","kurzobsah_lekpoutave","kurzobsah_lekpripraveny","kurzobsah_lekpristupny","kurzobsah_lekvysvet","kurzobsah_lekzapoj","kurzobsah_prinos","kurzobsah_problemzapojit","kurzovlivnil","kurzsamvsInteraktiv","kurzucitjinak","kurzzmenit"
"1","1","1","1","1","2","Samostatně","Přednáškou","Rovnoměrně",NA,"Vysvětlení co dělá politolog","Vhodně náročné","Vhodně náročné","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","V budoucím studiu","Spíš interaktivně","Měl by učit stejně","Méně času na cvičení by kurzu dodalo větší švih"
"1","2","3","1","1","1","Ve dvojici","Diskusí","Rovnoměrně",NA,"Diskusie preotze som sa VELMI vela dozvedela","Velmi těžké","Spíše lehké","Vhodně náročné","Určitě ano","Spíše ano","Určitě ano","Spíše ano","Spíše ano","Určitě ano","Určitě ano","Určitě ne","Ano, pretoze mam ovela vecsie poriadok v politickej scene, ale co sa tyka buducnosti asi ani nie.","Spíš interaktivně","Měl by učit stejně","Prvu hodinu vymysliet trosku putavejsie"
"1","1","2","4","1","1","Ve dvojici","Experimentem / problémem","Nutí nás na věci přícházet sami",NA,"Konečně jsem si vyjasnil některé pojmy a termíny, především na ose levice/pravice, konzervativec/liberál a jejich vzájemný vztah.
Na hodinách politologie nebyly ani náznaky frontální výuky, smekám. ","Vhodně náročné","Nevím","Vhodně náročné","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Pochopil jsem (alespoň částečně) politický systém ČR a osu levice/pravice. Konečně! :)  ","Hodně interaktivně","Měl by učit stejně","Část věcí pro mě nebyla nová- ocenil bych, kdyby se spíše otevřely otázky jako výhody konzervatismu a liberalismu pro systém... Učit se jak systém funguje je de facto opakování hodin ZSV. Otevírat poslední den téma fungování EU mi přišlo nadbytečné a ne dostatečně do hloubky."
"2","1","2","2","1","2","Ve skupině okolo 5","Experimentem / problémem","Nevím","viac nas zapajat by bolo lepsie
neposlat tolko vela materialov","skupinove cvicenia","Velmi těžké","Vhodně náročné","Vhodně náročné","Určitě ano","Spíše ne","Nevím","Určitě ano","Určitě ano","Nevím","Spíše ne","Spíše ano","dozvedela som sa aj nove veci, a zistila som, ze ajked je politologia zaujimava, tak ju asi nepojdem studovat","Spíš přednášel","Měl by nás trochu víc zapojovat","viac diskusii
ucit sa ine veci ako v skkole na obcianskej nauke"
"1","1","3","1","1","2","Samostatně","Přednáškou","Nutí nás na věci přícházet sami",NA,"Hlbšie poznávať jednu z mojích obľubených tém, s ktorou sa dennodenne stretávame.","Spíše těžké","Vhodně náročné","Vhodně náročné","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ne","Ukázal mi, že až tak nerozumiem tomu o čom som si myslel, že sa v tom vyznám a pomohol mi zorientovař sa v tom.","Spíš přednášel","Měl by učit stejně","Miestami mi chýbalo trochu viac praxe a diskusii. Možno by som vypustil prvé dve hodiny kurzu alebo by som ich spojil do jednej, keďže išlo o všeobecne známejšie témy."
"1","2","2","4","3","3","Ve skupině okolo 5","Přednáškou","Rovnoměrně","Ocenila bych více přednášek, protože jsme většinou museli na věci přicházet sami, což mi moc nevyhovovalo, jelikož jsme o dané problematice většinou nic moc nevěděli... ","Nejvíce se mi líbilo rozdělení vládních systémů podle státu. Přišlo mi to velmi zajímavé a přínosné. ","Velmi těžké","Mého kurzu se netýká","Vhodně náročné","Určitě ano","Spíše ne","Spíše ano","Spíše ano","Spíše ano","Určitě ano","Spíše ne","Spíše ne","Díky kurzu jsem se více dozvěděla o tom, jak to v politice funguje a uvědomila jsem si, že bych to v budoucnu jako zaměstnání dělat nemohla, což beru rozhodně zapřínosné. :-)","Spíš interaktivně","Měl by o hodně víc přednášet","Nejdříve by se měla daná látka probrat a až poté by se měly dělat aktivity na dané téma. "
"1","2","3","2","3","3","Ve skupině okolo 5","Diskusí","Nutí nás na věci přícházet sami",NA,"Systémy vlád ve VB a USA. Nevěděla jsem o tom mnoho a bylo to velmi zajímavé.","Spíše těžké","Mého kurzu se netýká","Spíše lehké","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Jsem ráda, že jsem si kurz politologie vybrala, protože jsem si díky němu rozšířila obzory, ale zároveň jsem zjistila, že se jí v budoucnu nechci věnovat.","Hodně přednášel","Měl by učit stejně","Dost náročné."
"2","1","3","1","2","2","Ve dvojici","Přednáškou","Nutí nás na věci přícházet sami","Viac výkladu","Najviac sa mi páčilo Petrove prezentovanie o danej téme/ vysvetľovanie","Vhodně náročné","Vhodně náročné","Velmi lehké","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","zistila som, že politológia ma baví, ale nechcela by som ju študovať.","Hodně interaktivně","Měl by o hodně víc přednášet","Bolo tam príliš veľa opakovania z predchádzajúcej hodiny a diskusie, a preto sme potom nestíhali výklad alebo podobne. Pridala by som viac výkladu a následne diskusiu, pretože nemám pocit, že by som sa toho nejako veľa dozvedela."
"3","2","4","2","3","3","Ve skupině okolo 5","Diskusí","Rovnoměrně","Bol nudny a dal nam nehorazne vela citat. Potom sme s tym vsak az tak nerobili. Takisto to bolo take spomalene.","To ze sme mali priestor sami oveciach premyslat","Velmi těžké","Mého kurzu se netýká","Vhodně náročné","Určitě ano","Určitě ne","Spíše ano","Spíše ano","Spíše ano","Určitě ano","Spíše ne","Určitě ne","Zistila som ze politologia nie je pre mna. Urcite som sa aj nieco naucila ale nebolo to zaujimave","Spíš přednášel","Nevím","Mne sa velmi tento kurz nepacil. Bol dost nudny a miestami sme prechadzali cez veci strasne plytko. 20 minutove opakovanie z minulej hodiny nepomaha, len zbytocne ubera cas "
"2","2","2","2","2","2","Ve dvojici","Diskusí","Rovnoměrně",NA,"Diskuse.","Spíše těžké","Mého kurzu se netýká","Spíše lehké","Určitě ano","Spíše ano","Určitě ano","Spíše ano","Spíše ano","Určitě ano","Spíše ano","Určitě ne","Zvýšil můj zájem o danou oblast.","Spíš interaktivně","Měl by o trochu víc přednášet","Méně čtení."
