"hodnoceni_čt","hodnoceni_pá","hodnoceni_po","hodnoceni_so","hodnoceni_st","hodnoceni_út","kurzjaknejlepepraco","kurzjaknejuci","kurzjakuci","kurzlektorpoznamky","kurzlibilo","kurznarocnost_narocmater","kurznarocnost_narocpracetu","kurznarocnost_narochod","kurzobsah_lekodbornik","kurzobsah_lekpoutave","kurzobsah_lekpripraveny","kurzobsah_lekpristupny","kurzobsah_lekvysvet","kurzobsah_lekzapoj","kurzobsah_prinos","kurzobsah_problemzapojit","kurzovlivnil","kurzsamvsInteraktiv","kurzucitjinak","kurzzmenit"
"2","1","1","1","2","1",NA,"Experimentem / problémem",NA,"Elisko, ukazovani lidskeho premysleni na aktivitach je super. Myslim tim, ty zmeny... Zmen na sobe 10 veci a tak. Bezvadna technika. Mozna bych spis dala vic techto nez diskuzi.","Eliska! Je skvela, pozitivni a chapajici. Psychologie byla supr. Nejlepsi bylo asi Eliscino povidani o druzich lasky o syndomu tyrane zeny .. Wow to me vazne bavilo. ","Spíše lehké",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Spíše ne","Určitě ano","Spíše ano","Spíše ano","Spíše ne","Hodne me bavilo probirani experimentu a eliscino povidani, ktereho si myslim, ze bylo zbytecne malo a casto jsem spis poslouchala opakujici se nazory nekterych lidi.",NA,NA,"No, vice bych ridila diskuze, ktere se casto tahly ne uplne nadejnym smerem. Jako fajn, ale nekteri lidi sami nepoznaji, kdy prestat a potrebuji trosku usmernit."
"2","1","1","2","1","1",NA,"Přednáškou",NA,"Děkuju za všechno Eliško :)","Nově naučené informace a možnost diskutovat s ostatními o jejich názorech. ","Vhodně náročné",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ne","Ano, zvažuji psychologii jako něco čemu bych se mohla více věnovat.",NA,NA,"Možná více moderovat diskuze :)"
"1","1","1","1","1","1",NA,"Diskusí",NA,"eliška bola super ","komunikácia, autentické vysvetlovanie","Spíše lehké",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Naučil ma byt vnímavý svojich implicitných postojov",NA,"Měl by učit stejně","nič"
"1","1","1","1","1","1",NA,"Hrou",NA,"Eliška je super","Vsetko","Vhodně náročné",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Dozvěděla som se vela o sebe a lepší som pochopil ako funguje mezilidské  vztahy a na o si mám dát pozor",NA,NA,NA
"1","1","1","1","1","1",NA,"Diskusí",NA,NA,"Pacila sa mi otvorenost Elisky a aj clenov kurzu.","Spíše lehké",NA,"Nevím","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Dokazem sa inak pozerat na problemy a viem na com mam do buducna pracovat :)",NA,NA,"Nic"
"1","1","1","1","1","1",NA,"Přednáškou",NA,NA,"Úplne všetko bolo super. Najviac sa mi páčilo, že to bolo v takej forme aby som to mohla používať v živote.","Spíše lehké",NA,"Spíše lehké","Určitě ano","Určitě ano","Určitě ano","Nevím","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Ano. Naučila som sa veľa vecí, ktoré budem určite využívať.",NA,"Měl by o trochu víc přednášet","Mne to takto vyhovovalo."
"1","1","1","1","1","1",NA,"Diskusí",NA,NA,"diskusie, videa a osobnostny profil.","Velmi lehké",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Nevím","vo vnimani sveta, rieseni problemov a vo venovani pozornosti detailom a ine rozne uzitocne techniky",NA,"Měl by učit stejně","nic ma nenapada. kurz som si nesmierne uzil."
"2","1","1","1","1","1",NA,"Diskusí",NA,NA,"ze to bol odostatocne volne a mohli sme kazdy vyjadrit svoj nazor. Nebolo to vobec nudne a bavili sme sa o temach, ktoré nas zaujimali","Vhodně náročné",NA,"Spíše lehké","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ne","na niektore veci sa uz pozeram inak a snazim sa viac si vsimat ludi okolo a premyslat nad nimi",NA,NA,NA
"1","1","1","1","1","1",NA,"Diskusí",NA,"Děkuji, Eliško!<3","Vše se mi líbilo.","Spíše lehké",NA,"Spíše lehké","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","ANo, kurz mě usvědčil v tom, že ybch se v budoucnosti chtěla věnovat psychologii naplno-",NA,NA,NA
"1","1","1","1","1","1",NA,"Experimentem / problémem",NA,"Eliška učila výborně. Hodiny byly dokonálé a nejraděli bych je měla dopoledne i odpoledne :)","Nejvíc se mi líbil Eliščin přístup. Nechala nás diskutovat, učila nás, uváděla příklady i historky ze života a rady do něj :)","Vhodně náročné",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Ano, vela v myšlení a pohledu na radost, štěstí, lidský život /)",NA,"Měl by učit stejně","Možná bych šla v určitých věcech víc do hloubky, ale to se dalo po kurzu, ve voném čase"
