"hodnoceni_čt","hodnoceni_pá","hodnoceni_po","hodnoceni_so","hodnoceni_st","hodnoceni_út","kurzjaknejlepepraco","kurzjaknejuci","kurzjakuci","kurzlektorpoznamky","kurzlibilo","kurznarocnost_narocmater","kurznarocnost_narocpracetu","kurznarocnost_narochod","kurzobsah_lekodbornik","kurzobsah_lekpoutave","kurzobsah_lekpripraveny","kurzobsah_lekpristupny","kurzobsah_lekvysvet","kurzobsah_lekzapoj","kurzobsah_prinos","kurzobsah_problemzapojit","kurzovlivnil","kurzsamvsInteraktiv","kurzucitjinak","kurzzmenit"
"2","1","2","1","1","1",NA,"Experimentem / problémem",NA,NA,"dobrá štruktúra so stylizovaným faktom a skupinovými aktivitami, veľký záber tém","Spíše lehké",NA,"Vhodně náročné","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ne","ovplyvnil celý môjn názor na problematiku a dal mi veľa pohľadov ako sa pozerať na problémy",NA,NA,NA
"1","2","1","1","1","1",NA,"Diskusí",NA,"Bylo to super...velmi ocenuji ze hodina mnela jasne danou strukturu, ale zaroven byl cas na volnou diskuzi a kreativitu.","Nejradsi jsem mnela pocatecni diskuze a obhajovani sveho postoje, take se mi libila prace ve skupinach, kde byl prostor pro navrhnuti vlastnich reseni pro probelmi rozvojovych zemi.","Vhodně náročné",NA,"Nevím","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Tento kurz mi ukazal ze nejsem jediny clovek, ktery si mysli ze rozvojovou pomoc je dulezite dobre planovat a ze zahrnuje mnohem vce aspektu nez se bezne prezentuje.",NA,"Měl by učit stejně","Kurz mi velmi vyhovoval, mozna bych v ramci uvodu zaradila zbezne popsani jednotlivych zemi a jejich problemu."
"2","1","1","1","1","2",NA,"Experimentem / problémem",NA,NA,"Způsob vedení kurzu, témata.","Vhodně náročné",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Uvědomil jsem si spoustu souvislostí a dostal na problematiku nový náhled.",NA,NA,NA
"1","1","1","1","2","2",NA,"Diskusí",NA,"Je proste super","Kopec nových informácií a tiež to, že Vašek dával príklady z vlastnej skúsenosti.","Spíše lehké",NA,"Vhodně náročné","Spíše ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ne","Určite áno. Dalo mi to nový pohľad na danú problematiku a mnoho podnetov na rozmýšlanie.",NA,NA,NA
"1","1","1","1","1","1",NA,"Přednáškou",NA,NA,"najviac sa mi na tomto kurze pacili vaskove skusenoti s rozvojovymi zemami z prvej ruky, ktore nam skvelo vedel podat. ","Vhodně náročné",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ne","Urcite ma ovplyvnil v mojom vnimani sveta, ohlade na rozvojove krajiny, problemy ludi tychto regionov a v neposlednom rade aj vo vybere mojho dalsieho smerovania.",NA,NA,NA
"1","2","1","2","2","1",NA,"Přednáškou",NA,NA,"Kurz bol faktický, čo bolo dobré. ","Vhodně náročné",NA,"Vhodně náročné","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Nevím","Utvrdil ma v tom, že chcem skúsiť pracovať v rozvojovej krajine.",NA,NA,NA
"1","1","1","1","2","2",NA,"Přednáškou",NA,"-","Dozvedela som sa nové informácie, ktoré by som sa nikde inde nedozvedela alebo by som sa nad nimi nezamýšľala.","Vhodně náročné",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Ukázal mi krajiny o ktorých som nič nevedela a pomohol mi pochopiť ľudí ktorí tam žijú.",NA,NA,"Absolútne nič."
"1","1","2","1","1","2",NA,"Experimentem / problémem",NA,NA,"Miluju rozvojová studia s Vaškem <3 

","Spíše lehké",NA,"Vhodně náročné","Určitě ano","Spíše ano","Určitě ano","Spíše ano","Spíše ano","Určitě ano","Spíše ano","Určitě ne","Asi neovlivnil, ale rozšíril obzory ve vecech co jsem nikdy neslyšela.",NA,NA,"nic! Jen chci víc času, hodina a pôl je málo."
"1","1","1","1","1","2",NA,"Diskusí",NA,"Dakujem!","Roznorodost tem, zapojenie vsetkych do aktivit. Velmi zaujimave.","Vhodně náročné",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Nevím","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Zmenil moj pohlad na rovojove staty a tuto problematiku.",NA,"Měl by učit stejně","Nic mi nenapada."
"1","1","1","1","1","1",NA,"Diskusí",NA,NA,"Rozvojova pomoc","Spíše lehké",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Nevím","Zkusit se podivat do rozvojovych zemi",NA,"Měl by nás trochu víc zapojovat","Nic"
