"hodnoceni_čt","hodnoceni_pá","hodnoceni_po","hodnoceni_so","hodnoceni_st","hodnoceni_út","kurzjaknejlepepraco","kurzjaknejuci","kurzjakuci","kurzlektorpoznamky","kurzlibilo","kurznarocnost_narocmater","kurznarocnost_narocpracetu","kurznarocnost_narochod","kurzobsah_lekodbornik","kurzobsah_lekpoutave","kurzobsah_lekpripraveny","kurzobsah_lekpristupny","kurzobsah_lekvysvet","kurzobsah_lekzapoj","kurzobsah_prinos","kurzobsah_problemzapojit","kurzovlivnil","kurzsamvsInteraktiv","kurzucitjinak","kurzzmenit"
"1","1","1","1","1","1","Samostatně","Diskusí","Rovnoměrně","Bylo to strašně super ;) :D","Všeobecný rozhled který nám Igi dal - díky tomu jsme schopni se aspoň trochu orientovat v kriminologii. 
Jak moc prostředí ovlivňuje lidi u páchání trestných činů.
A samozřejmě - soudní proces v sobotu :D","Vhodně náročné","Velmi lehké","Nevím","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Spíše ne","Utvrdil mě v myšlence chtít jít studovat práva.","Hodně přednášel","Měl by učit stejně",NA
"2","1","1","1","1","2","Samostatně","Diskusí","Dává nám nové informace","Igi je pánko!","Igi měl super hodiny a plné zajímavostí, ke kterým bych se jinak nedostal. Plus ještě kopec srandy :-)","Spíše těžké","Vhodně náročné","Vhodně náročné","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Přemýšlím teď více o tom, že bych chtěl studovat právo vedle studia historie. ","Spíš přednášel","Měl by nás trochu víc zapojovat","-"
"1","1","1","1","1","1","Ve dvojici","Diskusí","Rovnoměrně","Byť menej super potom sa cítim menej cenný :D ","Bolo to úplne ako keby sme už na právnickej univerzite.","Vhodně náročné","Vhodně náročné","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Nevím","Utvrdil ma v tom že chcem študovať právo.","Spíš přednášel","Měl by učit stejně","Nič Igi je úžasný !"
"1","1","1","1","1","1","Ve velké skupině","Experimentem / problémem","Rovnoměrně","Všetko bolo super","Igiho pútavý výklad, zrozumiteľnosť a prípady zo skutočných situácií, pretože sme sa mohli dozvedieť, ako to skutočne funguje.","Vhodně náročné","Vhodně náročné","Spíše lehké","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ne","Zistila som, že trestná justícia ma skutočne baví a možno by som sa jej chcela venovať v budúcnosti. Igi nám ukázal, že právo nie je len o učení sa zákonov naspamäť.","Spíš přednášel","Měl by učit stejně","Všetko bolo super."
"1","1","2","1","1","1","Samostatně","Přednáškou","Rovnoměrně","Iba mám trochu pocit, že si od nás Igi držal trochu veľký odstup. Osobne by som mal naňho veľa otázok aj mimo kurzu, ale nemal som pri ňom pocit, ako pri iných lektoroch (pocit typu: ,,Kedykoľvek sa zastav, pýtaj sa na hocičo, som tu pre teba!"").","Igiho výklad. On je naozaj nadupaný vedomosťami, ktoré nám chcel odovzdať a ktoré boli veľmi zaujímavé. Parádny bol aj trestný proces počas poslednej lekcie.","Vhodně náročné","Vhodně náročné","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Spíše ne","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Jediná vec - utvrdil ma, že právo by ma naozaj mohlo baviť a že ak ho pôjdem študovať, mal by som sa v ňom nájsť.","Hodně přednášel","Měl by učit stejně","Možno by som uvítal viac informácií v piatok o sobotňajšom súde - v podstate som nevedel, do čoho idem a čo tam budem robiť."
"1","1","1","1","1","1","Ve velké skupině","Přednáškou","Dává nám nové informace"," Myslela som ze Maruskinu psychologiu niv neprekona, ale toto sa tomu vyrovnalo. Bolo to super a Igi perfektne prednasa. Jedno velke dakujem!!!!","Igiho vysvetlovanie veci. Bolo to genialne ","Spíše lehké","Vhodně náročné","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Ako som uz vravela, asi chcem studovat pravo. Kurz bol genialny a dal mi vela.","Hodně přednášel","Měl by učit stejně","Nic. Iba ak mu dat este viac priestoru"
"1","1","2","2","1","1","Samostatně","Diskusí","Rovnoměrně",NA,"Znalý, pohledný a zábavného vyučování schopný lektor","Vhodně náročné","Vhodně náročné","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Utvrdil mě a poskytl další informace co se týče mé budoucí profesní dráhy","Spíš přednášel","Měl by učit stejně","Pfff, to je furt dokola. Za rok porovnám dva Discovery a řeknu vám to"
"1","1","1","1","1","1","Ve velké skupině","Přednáškou","Dává nám nové informace",NA,"uzasny kurz, naucila som sa mnozstvu novych poznatkov a samozrejme Igi je skvely lektor","Spíše lehké","Vhodně náročné","Vhodně náročné","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ne","kurz bol pre mna velmi motivujuci a vysli na javu na kt oblastiach mam pracovat","Spíš přednášel","Měl by učit stejně",NA
"1","1","1","1","2","1","Ve velké skupině","Diskusí","Dává nám nové informace","Igi!!! Jsi skvelý!!! ","Nejvice se mi libilo soudni jednani kdy jsem si zkusika roli prisediciho soudce a rozhodovala o vysledku na zaklade dukazu","Vhodně náročné","Spíše lehké","Velmi lehké","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Pravu se chci venovat i do budoucna","Hodně interaktivně","Měl by učit stejně","Myslim si ze nic by se nemelo menit"
"1","1","3","1","2","2","Ve velké skupině","Přednáškou","Rovnoměrně",NA,"Igi je kraľ!
On o to vedel velmi zaujímavo rozprávať a bola radosť ho počúvŤ. On to proste vedel tak povedať že to kazdeho zUjoLo. Tiez sa mi velmi pacilo ze to nebolo len právo ale ze v tom bola aj politika, psychológia a tak.","Spíše lehké","Vhodně náročné","Spíše těžké","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Rozmyslam ze pijde. Studovať právo.","Spíš interaktivně","Měl by učit stejně","Je to super ako to je. Neviem či by to igimu pomohlo ale kľudne nam mohol toho dať prečítať na doma aj viacej. Alebo aspoň dať nejaké nepovinné čítanie pre tych ktori by sa cheli dozvedieť  este giac. A to by pidla mna mohli robiť vestci lektori. Proste poskytnúť navyse materialy pre tych ktorych to velmi velmi zaujima a radi citajú."
