"hodnoceni_čt","hodnoceni_pá","hodnoceni_po","hodnoceni_so","hodnoceni_st","hodnoceni_út","kurzjaknejlepepraco","kurzjaknejuci","kurzjakuci","kurzlektorpoznamky","kurzlibilo","kurznarocnost_narocmater","kurznarocnost_narocpracetu","kurznarocnost_narochod","kurzobsah_lekodbornik","kurzobsah_lekpoutave","kurzobsah_lekpripraveny","kurzobsah_lekpristupny","kurzobsah_lekvysvet","kurzobsah_lekzapoj","kurzobsah_prinos","kurzobsah_problemzapojit","kurzovlivnil","kurzsamvsInteraktiv","kurzucitjinak","kurzzmenit"
"2","1","1","3","2","1",NA,"Experimentem / problémem",NA,NA,"Veľmi sa mi páčilo, že náš lektor Matus nam pripravil vyuky o aktualnych enviromentalnych problemoch, ktore sme zaroven aj ""chemicky"" podložili. Kazda hodina bola niecim zaujimava a vzdy som si odniesla nieco nove, co by som sa v skole na beznych hodinach chemie nedozvedela.","Mého kurzu se netýká",NA,"Vhodně náročné","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Myslím že mi rozsiril znacny obzor v oblasti enviromentalistiky.",NA,NA,"Možno vložiť trošku viac organickej chemie."
"1","2","1","2","2","1",NA,"Diskusí",NA,"Matus byl nadseny do toho sdilet a ochotny vysvetlit latku do podrobnosti i mimo cas kurzu. Nekdy byla v hodine problematicka rozdilna uroven zanlosti ucastniku.","Nejvice se mi libilo ze jsem pochopila vice chemickych principu kterym jsem do te doby rozumnela jen napul. Velmi mne take zaujaa hodina ve ktere jsme si vysvetlovali chemicke procesy pri okyselovani oceanu.","Nevím",NA,"Vhodně náročné","Určitě ano","Spíše ano","Spíše ano","Určitě ano","Určitě ano","Nevím","Spíše ano","Spíše ne","Ovlivnil mi  predstavu o mych zanlostech.",NA,NA,"Podoba kurzu se vzdy odviji od preferenci cele skupiny, mne by vyhovovalo vice propojeni s biologii a ochranou zivotniho prostredi"
"1","1","2","1","1","1",NA,"Přednáškou",NA,NA,"soucasne temata","Spíše lehké",NA,"Vhodně náročné","Spíše ano","Určitě ano","Spíše ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","mam zase o neco radsi chemii",NA,"Měl by učit stejně","poradi hodin"
"1","1","1","1","1","1",NA,"Experimentem / problémem",NA,NA,"Prístup lektora plus riešenie enviromentálnych problémov, ktoré v škole z chemického hľadiska nepreberáme.","Mého kurzu se netýká",NA,"Spíše lehké","Určitě ano","Spíše ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ne","Budem viac enviromentálne zmýšľať ( dúfam)",NA,NA,NA
"1","1","1","1","1","1",NA,"Přednáškou",NA,NA,"Prístup lektora. Bolo fajn, že vysvetlil veci ktorým som nerozumela.","Spíše těžké",NA,"Vhodně náročné","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ne","Pochopila som veľa vecí, ktorým som pred tým nerozumela.",NA,NA,NA
"2","2","2","1","2","2",NA,"Přednáškou",NA,"Bolo vidno, ze si to mat9us uzival a bol dobre pripraeny. ","Dobra atmosfera na hoodinach, oktoru sa sa matu5s hp8ostaral","Mého kurzu se netýká",NA,"Spíše lehké","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Spíše ne","Nevím","Nie, bolo to celkom podobne hodinam chemie na strednej skol s ovela lepsou atmosferou a zaujimavejsie podane, nepovedal by som ale, ze vy ma nejak ovplyvnil, naucil som sa ale nejake nove veci.",NA,NA,"Vela veci sa podobalo na stredoskolske ucivo. Radsej vy som tam dal nieco, co sa uci na v7ysokej skole, aby sme zistii, o com je univerzitna fchemia a ci ju chceme studovat, kedze to je pre mna hlavnym sielom kurzu"
"1","1","1","2","2","1",NA,"Experimentem / problémem",NA,NA,"Chemie na pozadi enviromentalnich problemu, protoze ve skole na tohle neni cas.","Spíše těžké",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Spíše ano","Určitě ne","Zacnu se vice zajimat o to, co muzu udelat pro zivotni prostredi.",NA,"Měl by učit stejně","Jeste vice se venovat enviromentalnim problemum."
"1","1","1","1","1","1",NA,"Přednáškou",NA,"Ne.","Přístup lektora. Byl velmi přátelský a otevřený.","Spíše lehké",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Kurz mě velmi bavil, utvrdil mě v tom, že chemie je skvělá.",NA,"Měl by učit stejně","Nic."
"1","1","1","1","1","1",NA,"Diskusí",NA,NA,"Bol skvelý.. Hravym a zaujímavým spôsobom som sa dozvedela a naučila mnoho vecí :)","Mého kurzu se netýká",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ne","Ovplyvnil ma v tom,  že som motivovaná viac sa chémiu učiť :) viac ma zaujíma ",NA,NA,"Nič "
"1","1","1","1","1","1",NA,"Diskusí",NA,"Matus Diveky rocks! :)","na druhom kurze sme preberali vela o enviro problemoch, o tom co ich sposobuje, a ako by sa dali riesit. myslim, ze prave tato cast kurzu sa mi pacila najviac","Vhodně náročné",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","uvedomila som si, ako velmi clovek znehodnocuje svoje zivotne prostredie. nasledky toho su zial fatalne, aj ked nad nimi casto zatvarame oci. ",NA,"Měl by učit stejně","nic"
