"hodnoceni_čt","hodnoceni_pá","hodnoceni_po","hodnoceni_so","hodnoceni_st","hodnoceni_út","kurzjaknejlepepraco","kurzjaknejuci","kurzjakuci","kurzlektorpoznamky","kurzlibilo","kurznarocnost_narocmater","kurznarocnost_narocpracetu","kurznarocnost_narochod","kurzobsah_lekodbornik","kurzobsah_lekpoutave","kurzobsah_lekpripraveny","kurzobsah_lekpristupny","kurzobsah_lekvysvet","kurzobsah_lekzapoj","kurzobsah_prinos","kurzobsah_problemzapojit","kurzovlivnil","kurzsamvsInteraktiv","kurzucitjinak","kurzzmenit"
"4","3","3","5","5","3","Ve skupině okolo 5","Diskusí","Dává nám nové informace",NA,"Veľmi dobré informácie a vela zaujímavých faktov.","Mého kurzu se netýká","Mého kurzu se netýká","Vhodně náročné","Určitě ano","Spíše ne","Určitě ano","Určitě ano","Spíše ano","Spíše ne","Spíše ano","Spíše ano","Ano - začal som viac vnímať spojitosť medzi matematikou a fyzikou a ich vzájomné dopĺňanie.","Spíš přednášel","Měl by nás o hodně víc zapojovat","Trochu viac interaktivity. Možno zadať otázku a nechať nas snazit sa počas kurzu prisť na odpoveď. Menej vykladu."
"1","1","3","1","1","2","Ve dvojici","Přednáškou","Rovnoměrně","Přednáška byla někdy trochu náročná a v důsledku trochu nudná. Na druhou stranu hodně oceňuji, že jsem se dozvěděl něco o historii fyziky.","Nejlepší věcí byl výklad historie, který se jen tak k člověku nedostane.","Mého kurzu se netýká","Mého kurzu se netýká","Spíše těžké","Určitě ano","Spíše ne","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Spíše ne","Ano, budu se dívat na svět a hlavně na vesmír jako na kontinuum, které se v průběhu historie zajímavě měnilo. ","Hodně přednášel","Měl by nás trochu víc zapojovat","Možná poslat materiály na uchopení tématu předem."
"1","1","1","1","1","1","Ve dvojici","Přednáškou","Nutí nás na věci přícházet sami",NA,"Pacilo sa mi ked sme sa dostali ku kvantovke a teorii relativity","Velmi lehké","Spíše lehké","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ne","Kazdorocne mam jeden seriozny kurz a jeden pre zabavu, fyzika bola v tomto pripade tym pre zabavu, a teda nejaky obrovsky vplyv na moju buducnost nema, no rozhodne zivil moju lasku k fyzike","Spíš přednášel","Měl by učit stejně","Podla mna je kurz uplne skvely a vyvazeny"
"4","4","3","5","4","3","Samostatně","Experimentem / problémem","Nutí nás na věci přícházet sami",NA,"řešení Fermiho problémů, protože mi ukázalo, že i v oblastech, ve kterých mám značně limitované vědomosti můžu dělat relativně přesné odhady ","Mého kurzu se netýká","Mého kurzu se netýká","Spíše lehké","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Spíše ano","Určitě ne","ano, ovlivnil, vím nyní mnohem více o uplatnění fyzika a o průběhu studia ","Spíš interaktivně","Měl by učit stejně","kurz by mohl být náročnější a mohl by zahrnovat více matematiky"
"1","1","2","1","2","1","Ve skupině okolo 5","Experimentem / problémem","Nutí nás na věci přícházet sami",NA,"Najviac sa mi páčilo, že sme mali možnosť si vybrať čo chceme na kurze preberať a aj to, že sme boli nútení rozmýšlať nad problémami.","Mého kurzu se netýká","Mého kurzu se netýká","Spíše lehké","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ne","Áno, mali sme debatu o štúdiu Fyziky a práce potom. To mi dosť pomohlo zistit akú školy si mám vyberať a kde. ","Spíš interaktivně","Měl by učit stejně","Viac experimentov, lebo to boli len prednášky, ktoré by sa dali urobiť aj experimentom."
"2","2","1","3","1","2","Ve dvojici","Diskusí","Rovnoměrně","Irenka je veľmi zlatý človek a super učiteľ a veľmi jej to išlo. Som jej vďačný. A navyše mala geniálny workshop pozorovania nočnej oblohy!","Fermiho zákony a diskusia o mimozemských civilizáciách.","Mého kurzu se netýká","Mého kurzu se netýká","Spíše těžké","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Spíše ano","Spíše ne","Ani nie, kurz som mal len z čistej zvedavosti a čiastočného záujmu. Odnášam si nejaké zaujímavé fakty, ale fyzike sa určite nechcem a nebudem venovať v budúcnosti.","Spíš přednášel","Měl by učit stejně","Nič, kurz je stavaný presne na mieru pre ľudí, ktorí majú záľubu vo fyzike a kozmológii."
"1","1","2","1","1","2","Ve skupině okolo 5","Hrou","Dává nám nové informace",NA,"Fermiho problémy.","Velmi lehké","Vhodně náročné","Spíše lehké","Spíše ano","Spíše ano","Spíše ano","Určitě ano","Spíše ano","Určitě ano","Spíše ano","Spíše ne","V otázce kariéry vědce.","Hodně přednášel","Měl by nás o hodně víc zapojovat","Více debaty a interakce ohledně různých fyzicko-matematických otázkách."
"3","3","3","2","2","3","Ve dvojici","Experimentem / problémem","Nutí nás na věci přícházet sami","Viac zapájať študentov, astronómia!","Skúšali sme si rôzne veci sami, trénovanie mysle. ","Velmi lehké","Mého kurzu se netýká","Vhodně náročné","Spíše ano","Spíše ne","Spíše ano","Určitě ano","Spíše ano","Spíše ano","Nevím","Spíše ne","Neviem, veľa informácií, ktoré som sa myslela, že sa dozviem, si budem musieť nájsť asi sama. ","Spíš přednášel","Měl by nás trochu víc zapojovat","Viac astronómie, menej fyziky. Aspoň to som čakala ja. "
"1","1","1","1","1","1","Samostatně","Přednáškou","Dává nám nové informace",NA,"zaujimave temy, skvely vyklad","Spíše lehké","Vhodně náročné","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","dal mi moznost spoznat viac rozoberanu temu, nove informacie, zameranie  ","Spíš přednášel","Měl by učit stejně",NA
"1","1","1","2","1","1","Ve dvojici","Experimentem / problémem","Nutí nás na věci přícházet sami",NA,"Výklad a zaujímavosť učiva.","Velmi lehké","Vhodně náročné","Velmi lehké","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ne","Vo výbere vysokej školy, s odborom fyziky","Hodně přednášel","Měl by učit stejně","Nič."
