"hodnoceni_čt","hodnoceni_pá","hodnoceni_po","hodnoceni_so","hodnoceni_st","hodnoceni_út","kurzjaknejlepepraco","kurzjaknejuci","kurzjakuci","kurzlektorpoznamky","kurzlibilo","kurznarocnost_narocmater","kurznarocnost_narocpracetu","kurznarocnost_narochod","kurzobsah_lekodbornik","kurzobsah_lekpoutave","kurzobsah_lekpripraveny","kurzobsah_lekpristupny","kurzobsah_lekvysvet","kurzobsah_lekzapoj","kurzobsah_prinos","kurzobsah_problemzapojit","kurzovlivnil","kurzsamvsInteraktiv","kurzucitjinak","kurzzmenit"
"2","1","4","1","1","2","Samostatně","Diskusí","Rovnoměrně",NA,"Páčilo sa ako sme sa venovali takmer každému odvetviu.","Spíše lehké","Mého kurzu se netýká","Vhodně náročné","Určitě ano","Spíše ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Spíše ano","Určitě ne","Zistila som ako pracovať s vlastnou osobnosťou. ","Hodně přednášel","Měl by učit stejně","Mohlo by sa venovať hodinám viac do hĺbky."
"1","1","2","1","1","3","Ve dvojici","Diskusí","Rovnoměrně","Iva má velmi příjemné vystupování a zdravou míru sebevědomí a humoru. Proto s ní byly hodiny příjemné.
Originální nápad též byla ""knihovnička- nabídka půjčit si od ní libovolnou knihu. ","Líbila se mi probíraná témata.  Nejzajímavější část pro mě byla o cognitive and other biases. ","Velmi lehké","Velmi lehké","Spíše lehké","Spíše ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Uvědomění si mých vlastních kognitivních a rozhodovacích chyb. Motivuje mě to k tomu, abych si po Discoveru dohledal více materiálů.","Hodně interaktivně","Měl by učit stejně","V několika částech byla témata trochu plytce probíraná- např. kritika MBTI testu. "
"1","3","4","2","1","1","Samostatně","Přednáškou","Rovnoměrně",NA,"Nejvíce se mi líbila pozitivní psychologie a emoce, protože jsem se dozvěděla spoustu velmi zajímavých věcí. ","Spíše lehké","Velmi lehké","Vhodně náročné","Spíše ano","Spíše ano","Spíše ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Díky tomuto kurzu jsem se utvrdila v tom, že bych psychologii chtěla studovat, takže pro mě byly všechny informace velmi přínosné. ","Spíš interaktivně","Měl by o trochu víc přednášet","Hodiny by mohly být více plné a strukturované. Občas mi přišlo, že jsme toho mohli za daný čas stihnout mnohem víc. "
"1","1","1","1","1","1","Ve skupině okolo 5","Diskusí","Rovnoměrně","Podľa mňa bola lektorka super (:","Najviac sa mi páčilo že som sa naučil vyvarovař rôznym chybám a chazákom ktoré dnes používajú ľudia aby nás zmiatli.","Vhodně náročné","Vhodně náročné","Vhodně náročné","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Zmenil sa môj názor na svet.","Spíš interaktivně","Měl by učit stejně","Podľa mňa bol tento kurz fakt dobrý a prefekt vie čo nám má dať a čo nám najviac pomôže hoci sme nemali dostatok času :P"
"1","1","2","1","1","2","Ve skupině okolo 5","Experimentem / problémem","Rovnoměrně",NA,"Témata, o kterých jsme se učili. Například kognitivní chyby.","Vhodně náročné","Velmi lehké","Spíše lehké","Spíše ano","Spíše ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ne","Ano, díky kurzu psychologie jsem se utvrdila, že jí chci studovat na VŠ.","Spíš přednášel","Měl by učit stejně",NA
"1","1","2","1","2","1","Ve dvojici","Experimentem / problémem","Rovnoměrně","Iva vyučuje úžasne. Páčila sa mi kombinácia toho ako ona vysvetľovala, potom ako nás nútila makať. Takto by mal podľa mňa vyzerať kurz.","Páčilo sa mi ako sme skúšali experimenty aj na sebe a ako sme z nich vyvodzovali napr. kognitívne chyby.","Vhodně náročné","Vhodně náročné","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ne","Áno, ovplyvil. Rozhodns mi pomohol pochopt hlbšie iných ľudí a poukázal na to ako je ľahké zmanipulovať ľudskú myseľ.","Spíš interaktivně","Měl by učit stejně",NA
"1","1","3","2","1","2","Ve dvojici","Diskusí","Dává nám nové informace",NA,"Nejvíce se mi líbila hodina venovaná emocím.","Vhodně náročné","Velmi lehké","Spíše lehké","Určitě ano","Spíše ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Nedokážu odpovedet.","Spíš přednášel","Měl by nás trochu víc zapojovat","Tuto otázku jsem uz konzultoval s Ivou. Týká se taktiky pri kurzu, kdy bych radeji uvítal zaobírat se méne tématy s vetší hloubkou než obrácene."
"1","1","3","1","1","1","Ve skupině okolo 5","Diskusí","Rovnoměrně",NA,"Páčila sa mi pozitívna psychológia, štatistikz aneb ako ľudia premýšľajú, emócie","Spíše těžké","Velmi lehké","Velmi lehké","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Spíše ano","Spíše ne","Psychológia ma zaujímala už dávnejšie, pred kurzom, ale naučila som sa veľa nových poznatkov.","Spíš přednášel","Měl by učit stejně","prvú hodinu, pretože veľká časť z nej bola zbytočná. "
"1","1","1","1","2","3","Ve skupině okolo 5","Experimentem / problémem","Dává nám nové informace","Učili ma najlepší.","Velmi sa mi páči vyhodnotený MBTI.","Vhodně náročné","Spíše lehké","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ne","Ano, som rozhodnutá pokračovať v debate, pretože mám vla nových fínt, ktoré mám chuť aplikovať.","Spíš přednášel","Měl by učit stejně","Začínať hodiny meditáciou vonku pretože to fajn nabudí."
"2","2","3","1","2","1","Ve skupině okolo 5","Experimentem / problémem","Rovnoměrně",NA,"Najviac sa mi páčilo, ako nám Iva ukázala a povedala o všetkom o čom sme sa chceli niečo dozvedieť a zároveň nám k tomu pripojila ešte ďalšie zaujímavé informácie.","Vhodně náročné","Vhodně náročné","Spíše lehké","Určitě ano","Spíše ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Áno, v mnohom, určite to využijem v reálnom živote. ","Spíš interaktivně","Měl by nás trochu víc zapojovat","Trochu viac zapojiť študentov do nejakých aktivít, psychologických experimentov. "
"2","1","1","1","1","2","Ve dvojici","Přednáškou","Dává nám nové informace","Nemam ziadne.","Psychologia ako kurz sa mi velmi pacila, viac som ocakavala, ze sa tam budem skor bavit o veciach, ktore sa mi vybavia pod pojmom psychologia ako tie zname veci, nie veci, k ktorych som ani nevedela, ze existuju.","Vhodně náročné","Spíše lehké","Velmi lehké","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Spíše ne","V tom, ze psychologia ma urcite bavi, ale uistilo ma to, ze by som to nechcela studovat.","Spíš interaktivně","Měl by učit stejně","viac sa zamerat na vseobecnejsie a zaujimavejsie temi."
"1","1","1","1","1","1","Ve skupině okolo 5","Experimentem / problémem","Rovnoměrně",NA,"Lektorka a zaujimave temy ","Vhodně náročné","Velmi lehké","Vhodně náročné","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ne","Zalezalo od temy, napriklad orienovat sa v ludoch a nenechat sa ovplivnovat vacsinou ","Spíš interaktivně","Měl by učit stejně","Možno menej prezentacii a viac roznych psych. trikov "
"1","1","3","1","1","2","Samostatně","Experimentem / problémem","Dává nám nové informace",NA,"hodně zajímavých věcí-o lásce, jak bát šťastný nebo psychologie zla a emoce","Spíše lehké","Velmi lehké","Spíše lehké","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","určiě ano. Psychologie je zajímavý obor a já bych se ji chtěla věnovat nadéle.","Hodně přednášel","Měl by učit stejně","ta první hodina mi moc zábavná nepřišla, moc mě to nebavilo."
