"hodnoceni_čt","hodnoceni_pá","hodnoceni_po","hodnoceni_so","hodnoceni_st","hodnoceni_út","kurzjaknejlepepraco","kurzjaknejuci","kurzjakuci","kurzlektorpoznamky","kurzlibilo","kurznarocnost_narocmater","kurznarocnost_narocpracetu","kurznarocnost_narochod","kurzobsah_lekodbornik","kurzobsah_lekpoutave","kurzobsah_lekpripraveny","kurzobsah_lekpristupny","kurzobsah_lekvysvet","kurzobsah_lekzapoj","kurzobsah_prinos","kurzobsah_problemzapojit","kurzovlivnil","kurzsamvsInteraktiv","kurzucitjinak","kurzzmenit"
"1","1","1","1","1","1","Samostatně","Diskusí","Rovnoměrně",NA,"Pacilo sa mi ze sme brali nielen teoriu ale tvorili sme aj sami, usporiadali sme vernisaz a ze Janka sa o nas strarala takj ako s astarala. Rozhovory o umeni s nou ma vyrazne posuvali dopredu","Velmi lehké","Vhodně náročné","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Vdaka tomuto kurzu som objavila Kupku ","Spíš interaktivně","Měl by učit stejně","Je skvely taky aky je"
"1","1","1","1","1","1","Samostatně","Přednáškou","Rovnoměrně",NA,"Priestor pre sebavyjadrenie, oboznámenie s roznymi technikami , inšpirácia.","Spíše lehké","Spíše lehké","Spíše lehké","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Podám si prihlášku an dizajn a po novom mám pozitívny názor na moderné umenie.","Spíš přednášel","Měl by učit stejně","Aby naň bolo viac času. :)"
"1","1","1","1","1","1","Samostatně","Přednáškou","Dává nám nové informace",NA,"Pohlad na cast vytvarky ktorej sa aktivne nevenujem, teoria, popis obrazov","Velmi lehké","Spíše lehké","Velmi lehké","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Nevím","Inak posudit obrazy","Spíš interaktivně","Měl by učit stejně","Urcite viac casu."
"1","1","2","1","2","3","Samostatně","Nevím","Dává nám nové informace",NA,"Celková voľnosť kurzu.","Spíše lehké","Spíše lehké","Spíše lehké","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Spíše ne","Uvedomila som si , že výtvarná tvrorba nie je smer , ktorý by som chcela študovať.","Nevím","Měl by o trochu víc přednášet","Zaviedla by som možno trochu viac teórie."
"1","2","2","1","1","1","Samostatně","Hrou","Rovnoměrně",NA,"Kreativita to ako sme tvorili a zároveň učili nove vec","Spíše lehké","Vhodně náročné","Spíše lehké","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Nevím","Ano, prebudil vo mne chuť tvoriť ","Spíš interaktivně","Měl by učit stejně","Viac času na tvorbu"
"1","2","1","1","1","1","Samostatně","Diskusí","Rovnoměrně",NA,"To ze sme sa aj naucili nieco z dejin umenia a taktiez sme stihli nieco vytvorit. Zlomil vo mne moj strach/truc z kreslenia, co hodnotim ako osobne obrovske plus. Velmi velmi sa mi pacil a keby som mohla urcite si ho este mnohokrat zopakujem.","Vhodně náročné","Vhodně náročné","Vhodně náročné","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ne","Ano, dal mi opat chut kreslit a dozvedat sa viac o teorii a dejinach umenia.","Hodně interaktivně","Měl by učit stejně","Mozno by obcas bolo treba viac casu najma na kreslenie ale neviem, ze ako sa to da dostiahnut... Plus co ma moc neoslovilo v naplni kurzu bol landart."
"1","1","1","1","1","1","Samostatně","Diskusí","Dává nám nové informace",NA,"To, ze sme sa rozpravali aj o dejinach umenia a, ze sme mali primeranu volnost v tvoreni.","Velmi lehké","Velmi lehké","Velmi lehké","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Uistil ma, ze vo svojom zivote urcite chcem ist umeleckym smerom.","Spíš interaktivně","Měl by učit stejně","asi nic."
"1","1","1","1","1","1","Samostatně","Přednáškou","Nutí nás na věci přícházet sami","lektor by měl rozhodně pokračovat v tom, co dělá a jak!","Líbilo se mi, že jsme měli hodněkráte volnou ruku v tom, jaké techniky použítl. Skvělá byla i témata, která jsme zpracovávali, ať už šlo o moderní umění nebo o středověký komiks.","Vhodně náročné","Vhodně náročné","Vhodně náročné","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Spíše ano","Určitě ano","Začnu znovu tvořit i přesto, že nemám nějaké vyšší ambice.","Hodně interaktivně","Měl by učit stejně","nic."
"1","1","1","1","2","1","Samostatně","Přednáškou","Rovnoměrně",NA,"spojenie teórie a praxe","Vhodně náročné","Vhodně náročné","Vhodně náročné","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ne","v tom ako sa dívam na moderné umenie","Spíš interaktivně","Měl by o trochu víc přednášet","možno viac teoretických poznatkov"
"1","1","1","1","2","3","Ve skupině okolo 5","Experimentem / problémem","Dává nám nové informace",NA,"Lektorka nám dávala v tvorbe ""voľnú ruku"" a páčila sa mi interpretácia umeleckých diel.","Vhodně náročné","Vhodně náročné","Spíše lehké","Určitě ano","Spíše ano","Spíše ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Spíše ne","Kurz ma ovplyvnil k chápaniu umenia","Spíš interaktivně","Měl by učit stejně","Viac výtvarných potrieb( farby, stojany... ."
